CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,32,28,13,4,3,0,"Silhan, Peter A"
ACCY,202,12,12,5,0,1,3,"Shapland, Julia P"
ACCY,410,16,10,6,0,1,0,"Penn, Michael W"
ACCY,501,12,9,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,48,7,0,1,0,0,"Augusto Sampaio, Gerlando"
ACCY,503,615,241,22,0,4,2,"Hecht, Gary W"
ACCY,503,19,15,1,1,2,1,"Hecht, Gary W"
ACCY,516,23,12,1,0,1,0,"Curtis, Susan M"
ACCY,550,18,12,0,0,0,0,"Hutchens, Matthew"
ACCY,593,18,4,0,0,0,0,"Kustanovich, Michael"
ACCY,593,32,4,0,0,0,0,"Noonan, James R"
ACCY,593,24,1,0,0,0,0,"Noonan, James R"
ACCY,593,31,14,3,1,0,0,"Kustanovich, Michael"
ACE,240,15,13,1,0,0,0,"Stoddard, Paul B"
ADV,281,7,11,1,1,1,0,"Sar, Sela"
AFRO,100,36,11,3,0,2,0,"McMillion, Desiree Y"
AFRO,132,18,16,10,4,6,3,"Meyers, John P"
AFST,222,13,7,2,5,0,0,"Barro, Maimouna A"
ANSC,110,11,6,6,0,0,2,"Allen, Crystal A"
ANSC,205,52,10,5,3,4,1,"Emmert, Jason L"
ANSC,250,21,5,1,0,0,0,"Richardson, Sarah D"
ANTH,103,37,8,8,2,2,0,"Cox, Nicole A"
ANTH,209,18,3,0,0,0,0,"Silverman, Helaine I"
ANTH,246,29,8,2,0,4,3,"Sgheiza, Valerie"
ART,100,15,5,2,1,2,0,"Hetrick, Laura"
ARTS,220,20,6,2,0,1,0,"Becker, Susan E"
ASTR,330,22,9,5,2,0,1,"Looney, Leslie W"
ATMS,120,25,28,12,5,9,2,"Choate, Jessica J"
BADM,300,104,12,2,1,0,1,"Wright, Margaret"
BADM,310,74,30,8,3,6,0,"Gill, Shahbaz"
BADM,311,49,7,4,1,0,1,"Luckman, Elizabeth"
BADM,320,80,13,3,0,4,2,"Gill, Shahbaz"
BADM,350,23,4,4,1,0,0,"Sachdev, Vishal"
BADM,380,28,3,0,2,0,1,"Bucheli, Marcelo"
BADM,403,124,5,2,0,2,0,"Fricke, Michael R"
BADM,544,704,301,43,5,12,4,"Somaya, Deepak"
BADM,544,22,18,4,0,2,0,"Somaya, Deepak"
BADM,550,44,3,0,0,0,0,"Kurtz, Jeffrey M"
BADM,590,42,8,5,0,0,0,"Guggenheim, David R"
BADM,590,24,3,0,0,0,0,"Noonan, James R"
CHEM,102,9,12,21,30,13,1,"Marville, Kelly"
CHEM,104,25,46,44,15,7,1,"Ray, Christian R"
CHEM,232,10,13,9,10,4,0,"Kell, David A"
CHLH,100,16,10,2,2,2,0,"Trask, Jeffrey T"
CHLH,101,11,6,9,0,2,0,"Fujimoto, Elinor M"
CHLH,206,15,4,4,1,2,0,"Rinaldi-Miles, Anna I"
CHLH,210,19,4,3,3,4,0,"Pellum, Danielle M"
CHLH,243,33,13,1,2,2,0,"Kersh, Renique"
CLCV,224,16,2,1,0,2,0,"Merkley, Kyle G"
CLCV,224,19,0,2,0,0,0,"Weed, Ashley K"
CMN,502,18,3,0,0,0,0,"Reznik, Rachel M"
CMN,503,14,7,1,0,0,0,"Reznik, Rachel M"
CS,105,15,4,3,3,5,1,"Smith, David H"
CS,125,34,11,12,0,11,1,"Challen, Geoffrey W"
CS,173,64,35,15,8,3,4,"Evans, Graham C"
CS,199,21,3,2,0,1,2,"Nowak, Michael"
CS,411,86,14,5,3,4,0,"Alawini, Abdussalam A"
CS,416,34,9,1,2,2,0,"Hart, John C"
CS,416,403,24,2,0,3,8,"Hart, John C"
CS,421,75,9,2,2,4,2,"Beckman, Mattox A"
CS,421,31,14,6,6,5,3,"Beckman, Mattox A"
CS,598,73,0,1,1,0,0,"Farivar, Reza"
CS,598,28,1,0,0,0,0,"Farivar, Reza"
DANC,100,40,1,0,0,1,0,"Sapozhnikov, Anna"
DANC,100,28,2,2,0,0,0,"Anderson, Bevara"
ECE,210,10,9,7,2,2,2,"Chen, Xu"
ECE,220,18,5,6,3,0,1,"Chen, Yuting W"
ECE,310,23,22,2,0,1,0,"Radhakrishnan, Chandrasek"
ECE,311,17,2,2,1,0,0,"Snyder, Corey E"
ECE,313,9,20,10,1,2,2,"Alvarez, Juan"
ECE,329,16,5,3,2,2,0,"Kudeki, Erhan"
ECE,340,4,7,6,3,2,1,"Leburton, Jean-Pierre"
ECE,385,20,2,1,1,4,2,"Cheng, Zuofu"
ECON,102,50,17,7,3,0,0,"DiIanni, Isaac"
ECON,103,57,14,4,4,3,1,"McDermott, Eric M"
ECON,203,12,17,6,1,0,1,"Armendariz Buau, Ramses Y"
ECON,302,20,13,10,4,3,4,"Buckley, Bryan D"
ECON,303,19,22,11,8,2,4,"Arvin-Rad, Hassan"
ECON,415,7,7,5,0,2,0,"Buckley, Bryan D"
ECON,420,41,12,3,0,0,0,"DiIanni, Isaac"
ECON,437,28,7,8,4,2,2,"Armendariz Buau, Ramses Y"
ECON,529,548,202,42,4,6,5,"Esfahani, Hadi S"
ECON,529,58,42,16,2,4,2,"Esfahani, Hadi S"
EIL,411,24,2,0,0,0,0,"Bishop, Hugh"
EPOL,515,67,6,1,0,0,0,"Pak, Yoon K"
EPOL,531,24,5,1,0,0,0,"Nelson, Jennifer L"
EPS,405,42,11,4,1,0,0,"Hale, Jon N"
EPS,415,69,19,0,0,0,0,"Burbules, Nicholas C"
EPS,420,27,2,0,0,0,0,"Barnett, Bernice M"
EPS,423,82,7,1,0,0,0,"Mason, Terrence C"
EPSY,407,47,10,1,0,1,0,"Stine-Morrow, Elizabeth A"
ESE,320,10,6,4,1,2,0,"Cole, Todd M"
ESE,360,14,11,8,4,7,0,"Tomkin, Jonathan H"
FIN,221,61,15,7,0,2,1,"Dyer, Michael A"
FIN,300,12,8,6,4,1,0,"Peters, Stephen R"
FIN,435,7,15,1,0,0,0,"Raskie, Sterling"
FIN,511,48,38,9,0,0,0,"Spencer, Xiangyi X"
FIN,521,53,9,2,2,0,0,"Yang, Xi"
FIN,584,323,168,21,4,2,1,"Almeida, Heitor"
FSHN,120,46,16,4,2,3,0,"Gist, Toni M"
GEOG,101,26,4,1,0,1,0,"Liu, Dong"
GEOL,111,7,7,6,3,6,0,"Christie, Max L"
GEOL,118,10,4,4,2,1,0,"Altaner, Stephen P"
GWS,378,5,7,5,0,5,1,"Millen, Victoria R"
HDFS,105,31,5,2,1,1,0,"Sahin, Esra"
HIST,100,14,9,4,0,3,0,"van der Velde, Adrian T"
IB,150,15,16,7,1,2,1,"Clegg, Benjamin F"
IB,364,33,6,1,0,0,0,"Manaster, Joanne L"
IS,413,26,0,1,0,0,0,"Lucht, Karla S"
IS,501,22,0,1,0,0,0,"Wong, Melissa A"
IS,537,416,3,0,0,0,0,
IS,565,35,1,0,0,0,0,"Shasteen, Ruth H"
IS,571,21,2,1,0,0,0,"Alvarez, Barbara A"
JOUR,200,29,19,8,2,14,1,"Evans, Christopher R"
KIN,122,16,8,3,4,2,1,"Richards, Alicia"
KIN,340,16,10,2,4,0,0,"Petruzzello, Steven J"
LEAD,260,19,1,2,0,2,0,"Smist, Jennifer A"
