CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,15,13,2,0,1,0,"Thomas, Merin A"
AAS,100,15,11,3,0,1,0,"Thomas, Merin A"
AAS,100,21,6,1,0,3,0,"Peralta, Christine N"
AAS,100,20,9,0,0,0,0,"Peralta, Christine N"
AAS,100,15,9,3,0,0,0,"Lee, Sang S"
AAS,100,14,12,1,0,0,0,"Lee, Sang S"
AAS,120,18,5,4,0,1,0,"Esguerra, Maria Paz G"
AAS,365,21,1,5,0,2,0,"Cagle, Robert L"
ABE,141,44,6,0,0,1,0,"Bhalerao, Kaustubh"
ABE,225,12,16,7,0,2,0,"Zhang, Yuanhui"
ABE,226,25,9,2,1,2,0,"Singh, Vijay"
ABE,425,33,8,1,0,0,0,"Grift, Tony E"
ABE,436,30,26,5,0,0,0,"Wang, Xinlei"
ABE,469,35,12,0,0,0,0,"Zahos, Stephen C"
ACCY,200,72,54,22,7,1,0,"Silhan, Peter A"
ACCY,200,25,6,0,0,0,0,"Polinski, Paul W"
ACCY,201,15,13,4,0,6,2,"Pollard, Robert C"
ACCY,201,17,14,5,0,3,1,"Pollard, Robert C"
ACCY,201,19,15,6,0,5,1,"Michelson, Mark J"
ACCY,201,24,5,6,1,5,1,"Michelson, Mark J"
ACCY,201,19,9,5,0,5,1,"Korte, Brianne E"
ACCY,201,12,18,6,2,2,3,"Korte, Brianne E"
ACCY,202,15,12,4,1,1,1,"Jin, Yiyun"
ACCY,202,18,7,3,0,0,0,"Jin, Yiyun"
ACCY,202,11,17,2,0,1,0,"McConnell, Kelly R"
ACCY,202,10,14,7,2,0,0,"Storto, Joseph M"
ACCY,202,15,12,2,0,1,2,"Tong, Shuqing"
ACCY,202,24,10,0,0,0,0,"McConnell, Kelly R"
ACCY,202,11,18,3,0,0,0,"Mora, Bradley J"
ACCY,202,10,18,3,0,0,0,"Tong, Shuqing"
ACCY,202,10,17,3,1,0,0,"Storto, Joseph M"
ACCY,202,18,10,6,0,0,0,"Mora, Bradley J"
ACCY,202,9,16,5,0,1,0,"Lie, Jeane Natalia"
ACCY,202,14,11,4,0,0,0,"Koziel, Mark C"
ACCY,202,9,19,2,0,1,0,"Ladd, Dylan T"
ACCY,202,11,15,4,1,0,0,"Ladd, Dylan T"
ACCY,202,10,17,4,0,1,0,"Lie, Jeane Natalia"
ACCY,202,11,18,4,1,0,0,"Koziel, Mark C"
ACCY,301,10,20,5,0,0,0,"Wang, Zhiguang"
ACCY,301,25,15,0,0,0,0,"Wang, Zhiguang"
ACCY,301,19,19,2,0,0,0,"Wang, Zhiguang"
ACCY,301,19,19,1,0,0,0,"Finnegan, Thomas"
ACCY,301,23,20,1,0,0,0,"Finnegan, Thomas"
ACCY,302,16,20,3,0,0,0,"Fanning, Kirsten B"
ACCY,302,11,19,7,0,0,0,"Fanning, Kirsten B"
ACCY,302,16,18,2,0,0,0,"Davis, Gregory L"
ACCY,302,18,20,1,0,0,0,"Davis, Gregory L"
ACCY,302,15,20,3,1,0,0,"Fanning, Kirsten B"
ACCY,303,14,9,6,3,0,1,"Zhu, Wei"
ACCY,303,17,12,3,0,0,0,"Zhu, Wei"
ACCY,303,14,11,2,1,0,1,"Li, Yue"
ACCY,303,11,8,2,3,0,0,"Zhu, Wei"
ACCY,303,23,7,2,1,0,0,"Schwartz, Rachel"
ACCY,303,19,10,3,1,0,0,"Schwartz, Rachel"
ACCY,303,13,14,4,3,0,0,"Schwartz, Rachel"
ACCY,304,18,17,1,0,0,0,"Fan, Qintao"
ACCY,304,17,17,0,1,0,0,"Fan, Qintao"
ACCY,304,17,17,0,1,0,0,"Fan, Qintao"
ACCY,304,17,15,2,1,0,0,"Vance, Thomas W"
ACCY,304,16,16,0,0,0,0,"Vance, Thomas W"
ACCY,304,10,14,1,1,2,0,"Vance, Thomas W"
ACCY,312,14,18,0,0,0,0,"Lisowsky, Petro"
ACCY,312,12,22,2,0,0,0,"Lisowsky, Petro"
ACCY,312,11,18,0,0,0,1,"Chorvat, Elizabeth A"
ACCY,312,16,22,0,0,0,1,"Lisowsky, Petro"
ACCY,312,12,14,3,0,0,1,"Holder, Daniel E"
ACCY,312,17,15,1,0,0,0,"Chorvat, Elizabeth A"
ACCY,398,166,5,7,0,0,0,"Nekrasz, Frank"
ACCY,405,12,16,1,1,0,0,"Asante Appiah, Bright"
ACCY,405,14,25,1,0,0,0,"Thompson, Anne M"
ACCY,405,13,22,3,0,0,0,"Thompson, Anne M"
ACCY,405,13,22,2,0,0,0,"Gordon, Shawn J"
ACCY,405,18,18,1,1,0,0,"Asante Appiah, Bright"
ACCY,410,14,12,1,2,0,0,"Elliott, W B"
ACCY,410,19,13,1,0,0,0,"Elliott, W B"
ACCY,410,18,12,2,0,0,0,"Kustanovich, Michael"
ACCY,410,9,13,4,0,0,0,"Kustanovich, Michael"
ACCY,410,14,12,5,0,0,0,"Urcan, Oktay"
ACCY,410,14,14,3,0,0,0,"Urcan, Oktay"
ACCY,500,26,7,0,0,1,0,"Peecher, Mark E"
ACCY,504,29,10,0,0,0,0,"Pesch, Heather L"
ACCY,504,19,21,0,0,0,0,"Pesch, Heather L"
ACCY,504,15,22,0,0,0,0,"Pesch, Heather L"
ACCY,511,19,23,3,0,0,0,"Steward, Cynthia G"
ACCY,511,22,21,1,0,0,0,"Steward, Cynthia G"
ACCY,511,20,23,1,0,0,0,"Steward, Cynthia G"
ACCY,511,31,13,0,0,0,0,"Sougiannis, Theodore"
ACCY,511,24,20,0,0,0,0,"Sougiannis, Theodore"
ACCY,511,29,16,0,0,0,0,"Sougiannis, Theodore"
ACCY,515,14,12,0,0,0,0,"Majors, Tracie M"
ACCY,517,20,9,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,517,16,14,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,517,14,10,0,0,0,0,"Zhang, Li"
ACCY,552,8,18,0,0,0,0,"Sternburg, Thomas"
ACCY,552,14,15,0,0,0,0,"Sternburg, Thomas"
ACCY,555,18,10,0,0,0,0,"Lawler, Michael R"
ACCY,557,20,8,0,0,0,0,"Aquino, Glenn D"
ACCY,557,18,10,0,0,0,0,"McAlpine, William C"
ACCY,561,15,13,0,0,0,0,"Davis, Jon S"
ACE,100,9,7,1,3,1,0,"Gundersen, Lisa C"
ACE,100,2,12,4,5,2,0,"Gundersen, Lisa C"
ACE,100,7,9,5,2,0,0,"Gundersen, Lisa C"
ACE,161,20,3,1,0,0,0,"Rogalla, Valerie"
ACE,161,19,4,0,2,0,0,"Lo, Alexander C"
ACE,161,15,5,1,1,1,0,"Rogalla, Valerie"
ACE,161,22,3,0,0,0,0,"Lo, Alexander C"
ACE,161,17,4,3,0,0,0,"Lo, Alexander C"
ACE,161,17,6,1,0,0,0,"Lo, Alexander C"
ACE,161,22,1,1,0,0,0,"Lo, Alexander C"
ACE,161,21,2,1,0,0,0,"Rogalla, Valerie"
ACE,161,20,4,1,0,0,0,"Lo, Alexander C"
ACE,161,18,6,1,0,0,0,"Rogalla, Valerie"
ACE,161,13,6,5,0,0,0,"Rogalla, Valerie"
ACE,161,15,9,1,0,0,0,"Rogalla, Valerie"
ACE,199,20,1,0,0,0,0,"Scholl, Jon H"
ACE,231,97,80,8,0,0,0,"Stoddard, Paul B"
ACE,232,34,48,20,2,0,0,"Stoddard, Paul B"
ACE,240,35,37,17,2,1,0,"Xu, Yilan"
ACE,251,106,57,12,0,2,0,"Winter-Nelson, Alex E"
ACE,254,16,13,10,3,0,0,"Allen-Smith, Joyce E"
ACE,261,6,18,9,12,11,0,"Rokicki, Bartlomiej"
ACE,270,21,23,18,2,4,0,"Gundersen, Craig"
ACE,310,70,26,3,3,2,0,"Brazee, Richard J"
ACE,360,27,18,5,0,1,0,"Doehring, Todd A"
ACE,360,21,24,8,1,0,0,"Doehring, Todd A"
ACE,398,23,8,2,0,0,0,"Ellison, Brenna"
ACE,403,14,7,5,0,0,0,"Coppess, Jonathan"
ACE,427,22,25,15,3,0,0,"Irwin, Scott H"
ACE,428,51,37,9,4,1,0,"Peterson, Paul E"
ACE,430,13,24,3,2,0,0,"Goldsmith, Peter D"
ACE,431,16,23,6,0,0,0,"Ellison, Brenna"
