CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,19,5,3,2,0,0,"Lee, Sang S"
AAS,100,16,6,2,1,0,0,"Zheng, Reanne"
AAS,100,17,8,0,0,2,0,"Zheng, Reanne"
AAS,100,26,2,0,0,0,0,"Rosado-Torres, Alexander"
AAS,100,12,4,1,1,3,1,"Wang, Yu"
AAS,100,13,7,0,1,1,0,"Wang, Yu"
AAS,100,16,6,4,0,0,0,"Gonzalez, Daniel A"
AAS,100,16,9,2,0,0,0,"Atienza, Paul Michael L"
AAS,100,20,2,3,0,0,0,"Atienza, Paul Michael L"
AAS,215,25,5,1,1,0,0,"Park, Doo Jae"
ABE,152,109,14,7,1,7,0,"Kalita, Prasanta K"
ABE,225,13,8,1,0,2,0,"Zhang, Yuanhui"
ABE,226,10,11,1,0,2,0,"Singh, Vijay"
ABE,469,26,13,0,0,0,0,"Witmer, Ann-Perry"
ABE,498,20,5,0,2,1,0,"Wang, Xinlei"
ACCY,200,112,32,4,0,0,0,"Zhang, Li"
ACCY,200,105,98,39,3,3,0,"Silhan, Peter A"
ACCY,200,28,6,2,0,0,0,"Zhang, Li"
ACCY,201,96,46,23,18,3,3,"Fisher, Mitchell B"
ACCY,201,123,34,14,12,2,0,"Fisher, Mitchell B"
ACCY,202,95,72,29,3,0,0,"Shapland, Julia P"
ACCY,202,44,66,27,2,2,0,"Shapland, Julia P"
ACCY,202,29,8,1,0,0,0,"Shapland, Julia P"
ACCY,301,12,11,2,0,0,0,"Pachera, Susan"
ACCY,301,13,6,2,3,0,1,"Pachera, Susan"
ACCY,301,14,7,4,0,0,0,"Pachera, Susan"
ACCY,301,13,9,2,0,1,0,"Anderson, Spencer B"
ACCY,302,20,4,2,1,0,0,"Sani, Jalal"
ACCY,302,14,9,1,1,0,0,"Sani, Jalal"
ACCY,302,18,9,1,0,0,0,"Curtis, Susan M"
ACCY,302,17,6,2,0,0,0,"Curtis, Susan M"
ACCY,302,17,7,1,0,1,0,"Curtis, Susan M"
ACCY,303,10,15,1,1,0,0,"Ibrahim, Adel Nematallah"
ACCY,303,16,11,1,2,1,0,"Schwartz, Rachel"
ACCY,303,18,6,2,2,0,1,"Hamm, Brian K"
ACCY,303,15,8,1,0,2,0,"Ibrahim, Adel Nematallah"
ACCY,303,21,5,3,1,0,0,"Schwartz, Rachel"
ACCY,303,17,9,3,2,0,0,"Schwartz, Rachel"
ACCY,304,22,9,1,1,0,0,"Kink, Dawn M"
ACCY,304,23,9,1,0,0,0,"Kink, Dawn M"
ACCY,304,28,4,2,0,0,0,"Kink, Dawn M"
ACCY,304,21,7,3,0,1,0,"Zhang, Zheng"
ACCY,304,33,8,1,0,1,0,"Zhang, Zheng"
ACCY,312,12,11,0,0,2,0,"Hutchens, Michelle L"
ACCY,312,9,13,0,0,0,0,"Osswald, Benjamin"
ACCY,312,11,11,0,0,0,0,"Osswald, Benjamin"
ACCY,312,5,17,1,0,0,0,"Osswald, Benjamin"
ACCY,398,129,0,0,0,2,2,"Hutchens, Matthew"
ACCY,405,14,11,5,0,0,0,"Chatterton, Angel"
ACCY,405,10,14,7,0,0,0,"Chatterton, Angel"
ACCY,405,20,16,1,0,0,0,"Chatterton, Angel"
ACCY,405,15,11,5,0,0,0,"Ciconte, William"
ACCY,405,14,11,7,0,1,0,"Ciconte, William"
ACCY,410,23,5,0,0,0,0,"Kustanovich, Michael"
ACCY,410,9,12,1,2,0,0,"Chen, Ciao-Wei"
