CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,13,10,4,1,2,0,"Thomas, Merin A"
AAS,100,27,4,1,0,1,0,"Thomas, Merin A"
AAS,100,23,6,0,0,0,0,"Peralta, Christine N"
AAS,100,22,5,4,0,0,0,"Peralta, Christine N"
AAS,100,18,11,2,1,0,0,"Lee, Sang S"
AAS,100,15,11,4,0,1,0,"Lee, Sang S"
AAS,287,24,7,1,0,1,0,"Manalansan, Martin F"
ABE,100,23,22,5,3,2,0,"Green, Angela R"
ABE,223,47,5,0,2,0,0,"Grift, Tony E"
ABE,224,42,8,7,3,0,0,"Kalita, Prasanta K"
ABE,341,6,14,1,2,0,0,"Rausch, Kent D"
ABE,430,36,82,12,0,0,0,"Schideman, Lance C"
ABE,466,15,16,3,0,1,0,"Hansen, Alan C"
ABE,488,13,14,2,0,0,1,"Singh, Vijay"
ACCY,200,135,119,45,10,1,0,"Silhan, Peter A"
ACCY,201,21,11,2,0,0,0,"Korte, Brianne E"
ACCY,201,19,13,5,0,0,0,"Korte, Brianne E"
ACCY,201,24,8,2,1,1,0,"Koziel, Mark C"
ACCY,201,18,12,4,2,1,0,"Pollard, Robert C"
ACCY,201,9,15,5,2,1,0,"Michelson, Mark J"
ACCY,201,16,14,1,2,0,2,"Koziel, Mark C"
ACCY,201,18,6,9,0,1,0,"Pollard, Robert C"
ACCY,201,20,13,3,1,2,0,"Michelson, Mark J"
ACCY,201,22,6,1,2,1,0,"Mora, Bradley J"
ACCY,201,21,13,4,0,0,0,"McConnell, Kelly R"
ACCY,201,17,12,5,2,2,0,"McConnell, Kelly R"
ACCY,201,13,15,3,4,1,0,"Zhang, Fangye"
ACCY,201,12,10,2,1,1,0,"Mora, Bradley J"
ACCY,201,19,10,6,0,1,0,"Tong, Shuqing"
ACCY,201,22,12,2,1,0,0,"Storto, Joseph M"
ACCY,201,21,8,5,0,0,2,"Tong, Shuqing"
ACCY,201,20,9,5,2,2,0,"Storto, Joseph M"
ACCY,201,16,6,5,3,0,0,"Zhang, Fangye"
ACCY,202,10,12,3,1,1,0,"Jin, Yiyun"
ACCY,202,17,22,5,1,1,1,"Jin, Yiyun"
ACCY,202,21,17,6,0,0,0,"Ladd, Dylan T"
ACCY,202,22,19,4,0,0,0,"Ladd, Dylan T"
ACCY,202,18,24,2,0,0,0,"Lie, Jeane Natalia"
ACCY,202,16,22,1,2,0,1,"Lie, Jeane Natalia"
ACCY,301,9,13,7,1,0,0,"Winn, Amanda M"
ACCY,301,16,12,3,0,0,0,"Winn, Amanda M"
ACCY,301,21,10,0,0,0,0,"Winn, Amanda M"
ACCY,301,16,14,3,1,0,0,"Jackson, Kevin"
ACCY,301,19,11,2,0,0,0,"Jackson, Kevin"
ACCY,301,18,14,0,0,0,0,"Finnegan, Thomas"
ACCY,301,11,17,5,0,0,0,"Finnegan, Thomas"
ACCY,301,19,7,4,0,0,0,"Jackson, Kevin"
ACCY,301,17,13,0,0,0,1,"Finnegan, Thomas"
ACCY,302,10,18,0,2,0,1,"Autrey, Romana L"
ACCY,302,11,22,0,0,0,0,"Autrey, Romana L"
ACCY,302,15,17,1,0,0,0,"Finnegan, Thomas"
ACCY,302,15,14,3,0,0,0,"Zhang, Li"
ACCY,302,16,17,0,0,0,0,"Autrey, Romana L"
ACCY,302,10,20,2,0,0,0,"Chen, Xiaoling"
ACCY,302,15,16,2,0,0,0,"Chen, Xiaoling"
