CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,42,35,13,4,1,0,"Silhan, Peter A"
ACCY,202,8,14,8,1,0,0,"Shapland, Julia P"
ACCY,301,20,11,3,0,0,0,"Lyman, Rachel B"
ACCY,302,22,4,1,0,0,0,"Zhang, Zheng"
ACCY,410,18,6,2,0,1,0,"Penn, Michael W"
ACCY,503,183,97,9,3,0,0,"Hecht, Gary W"
ACCY,503,14,10,2,0,0,0,"Hecht, Gary W"
ACE,161,13,5,0,2,2,0,"Burnett, Meghan L"
ACE,240,15,24,2,0,0,1,"Stoddard, Paul B"
ADV,409,17,3,2,0,0,0,"Raquel, Steve A"
AE,402,11,11,3,0,0,0,"Chilan, Christian M"
AFRO,100,39,11,4,2,6,0,"McMillion, Desiree Y"
ANSC,110,15,15,3,1,0,2,"Allen, Crystal A"
ANSC,205,83,6,1,0,1,0,"Emmert, Jason L"
ANSC,250,27,4,1,2,2,0,"Richardson, Sarah D"
ANTH,143,20,6,4,1,2,0,"Cupka Head, Kevin M"
ANTH,180,32,1,0,0,1,0,"Silverman, Helaine I"
ANTH,246,42,7,5,2,1,0,"Yim, An-Di"
ARCH,314,29,1,0,0,1,0,"Thomas, Jennifer L"
ART,100,25,1,0,0,0,1,"Hetrick, Laura"
ARTD,209,25,10,7,0,5,1,"Gunji-Ballsrud, Jennifer"
ASTR,100,20,10,3,1,5,0,"Winans, Amanda"
ASTR,330,30,13,3,0,1,0,"Dunne, Bryan C"
ATMS,120,55,51,12,6,4,3,"Choate, Jessica J"
BADM,300,166,14,2,2,0,0,"Wright, Margaret"
BADM,310,182,67,7,3,7,0,"Gill, Shahbaz"
BADM,311,31,3,0,0,0,0,"Luckman, Elizabeth"
BADM,320,212,24,1,1,2,0,"Gill, Shahbaz"
BADM,350,34,4,4,2,1,0,"Sachdev, Vishal"
BADM,375,10,14,2,6,2,1,"Scott, Nehemiah"
BADM,380,38,8,3,3,0,0,"Bucheli, Marcelo"
BADM,403,62,5,0,1,1,0,"Fricke, Michael R"
BADM,544,479,187,13,2,1,1,"Somaya, Deepak"
BADM,544,192,57,4,0,1,0,"Somaya, Deepak"
BADM,550,35,6,0,0,0,0,"Kurtz, Jeffrey M"
BADM,551,50,0,0,0,1,0,"Bradley, Joe A"
BADM,590,24,2,0,0,1,0,"Lamare, James R"
BTW,250,20,1,0,0,0,0,"Dudek, John"
CEE,469,23,3,1,0,0,0,"Gurfinkel, German"
CHEM,102,11,20,30,24,7,8,"Marville, Kelly"
CHEM,104,25,56,62,9,6,1,"Ray, Christian R"
CHEM,232,20,21,21,6,5,1,"Kell, David A"
CHEM,442,19,6,4,1,1,0,"Nicely, Amy L"
CHLH,101,28,16,5,1,0,0,"Adamson, Brynn C"
CHLH,206,14,10,2,0,0,0,"Rinaldi-Miles, Anna I"
CHLH,243,41,5,3,0,0,1,"Kersh, Renique"
CHLH,274,30,12,6,1,0,1,"Darfour-Oduro, Sandra A"
CLCV,102,26,3,0,0,0,0,"Goebel, Clarissa A"
CLCV,115,18,4,2,0,0,0,"Karnes, Victoria A"
CLCV,224,25,1,0,1,1,0,"Weed, Ashley K"
CLCV,224,23,1,2,0,0,0,"Merkley, Kyle G"
CMN,212,5,5,7,2,2,0,"Kimnach, Rachel L"
CMN,260,8,4,3,3,4,0,"Wilson, Samuel R"
CMN,336,11,6,5,2,0,0,"Moga, Jillian L"
CMN,336,12,8,3,0,1,0,"Liao, Danni"
CMN,336,7,5,5,1,4,1,"Pulido, Manuel D"
CS,105,38,14,5,1,2,1,"Fowler, Maxwell L"
CS,173,34,10,3,0,0,0,"Ludden, Ian G"
CS,173,20,14,3,0,2,1,"Lin, Patrick"
CS,411,128,42,15,6,3,1,"Alawini, Abdussalam A"
CS,411,24,5,0,0,0,0,"Alawini, Abdussalam A"
CS,421,58,5,2,1,2,0,"Butler, Liia M"
CS,421,46,10,4,3,3,0,"Beckman, Mattox A"
CS,498,425,34,5,3,9,0,"Hart, John C"
CS,498,37,7,1,0,1,2,"Hart, John C"
CS,513,381,8,0,0,1,0,"Ludaescher, Bertram"
CS,598,41,1,0,0,1,0,"Farivar, Reza"
CS,598,49,7,1,0,0,0,"Farivar, Reza"
DANC,100,40,2,0,0,0,0,"Sapozhnikov, Anna"
DANC,100,36,3,0,1,0,0,"Mininsohn, Sarah M"
ECE,205,13,14,4,1,0,2,"Cheng, Zuofu"
ECE,206,20,4,0,0,1,0,"Cheng, Zuofu"
ECE,210,13,13,10,6,5,1,"Chen, Xu"
ECE,220,23,8,3,0,1,0,"Chen, Yuting W"
ECE,310,25,23,5,1,0,0,"Radhakrishnan, Chandrasek"
ECE,313,20,35,30,5,7,2,"Alvarez, Juan"
ECE,329,21,10,5,1,0,0,"Kudeki, Erhan"
ECON,102,94,1,0,1,3,1,"Vazquez, Jose J"
ECON,103,48,35,14,1,2,0,"McDermott, Eric M"
ECON,202,9,10,11,2,1,6,"Schultz, Colleen"
ECON,203,32,17,23,2,13,1,"Armendariz Buau, Ramses Y"
ECON,302,116,48,35,20,5,1,"Buckley, Bryan D"
ECON,303,26,18,13,0,5,2,"McDermott, Eric M"
ECON,415,14,23,10,1,1,0,"Buckley, Bryan D"
ECON,420,34,17,3,0,0,0,"DiIanni, Isaac"
ECON,437,24,19,14,2,0,2,"Armendariz Buau, Ramses Y"
ECON,471,10,9,8,4,2,0,"Arvin-Rad, Hassan"
ECON,504,20,5,0,0,0,0,"Agiakloglou, Christos"
ECON,529,659,101,11,4,2,3,"Esfahani, Hadi S"
ECON,529,139,35,7,2,1,4,"Esfahani, Hadi S"
EOL,548,19,4,0,0,0,0,"Mason, Terrence C"
EOL,568,45,2,0,1,0,0,"Roegman, Rachel"
EOL,580,31,1,0,0,0,0,"Rockey, Marci"
EPOL,550,42,3,0,0,0,0,"Hinze-Pifer, Rebecca"
EPS,405,171,5,0,0,0,4,"Pak, Yoon K"
EPS,415,103,12,2,0,0,0,"Burbules, Nicholas C"
EPS,423,21,2,0,0,0,0,"Mason, Terrence C"
EPS,590,23,1,0,0,0,0,"Kang, Hyun-Sook"
EPSY,408,113,1,0,0,0,2,"Cope, William"
FAA,220,25,3,1,0,0,0,"Becker, Susan E"
FIN,221,144,18,2,1,0,0,"Dyer, Michael A"
FIN,435,19,7,0,0,0,0,"Raskie, Sterling"
FIN,580,175,94,8,1,1,0,"Almeida, Heitor"
FIN,580,20,5,2,0,0,0,"Almeida, Heitor"
FR,101,16,4,2,0,2,3,"Clay, Amy L"
FSHN,120,58,13,6,3,0,1,"Burkhalter, Toni M"
GEOG,101,26,4,1,0,0,0,"Zaimi, Rea"
GEOG,204,10,9,1,0,1,0,"Roberts, Nina E"
GEOL,118,14,3,3,1,0,0,"Altaner, Stephen P"
HDFS,105,34,5,1,1,1,0,"Theisen, Jaclyn C"
HIST,100,13,8,4,1,5,0,"Chmiel, Agata A"
HIST,164,13,8,1,0,1,0,"Jones, Douglas R"
HRD,411,68,3,0,0,4,2,"Oh, Eunjung"
IB,150,37,24,14,0,3,3,"Clegg, Benjamin F"
IB,364,37,3,0,0,0,0,"Manaster, Joanne L"
IS,458,21,3,0,0,0,0,"Wong, Melissa A"
IS,502,22,3,0,0,0,0,"Weech, Terry"
IS,504,20,2,0,0,0,0,"Wong, Melissa A"
IS,507,22,2,0,0,0,0,"Choi, Inkyung"
IS,508,27,1,0,0,0,0,"Holba Puacz, Jeanne T"
IS,580,20,1,0,0,0,0,"Vincler, John M"
JAPN,201,13,3,3,0,2,0,"Nagata, Tsutomu"
JOUR,200,46,21,10,3,4,1,"Holden, Benjamin A"
KIN,122,20,12,6,1,4,0,"Richards, Alicia"
KIN,340,34,19,9,1,2,2,"Petruzzello, Steven J"
LEAD,260,21,0,1,0,3,0,"Smist, Jennifer A"
LER,542,24,1,1,0,0,0,"Avgar, Ariel C"
LER,545,25,1,0,0,0,0,"Sun, Yuanyuan"
LER,590,29,7,0,2,0,0,"Neuman, Eric J"
LING,100,17,4,1,0,1,0,"Bhatt, Rakesh M"
LLS,100,15,3,2,5,2,0,"Leon-Boys, Diana"
MATH,220,4,14,6,0,2,0,"Carpenter, Bruce"
MATH,231,15,10,9,2,2,1,"Folwaczny, Lena C"
MATH,231,9,15,7,3,3,5,"Carpenter, Bruce"
MATH,241,19,13,8,4,0,0,"Ahmed, Iftikhar"
MATH,241,17,9,5,6,6,2,"Carpenter, Bruce"
MATH,285,24,11,10,3,1,0,"Carpenter, Bruce"
MATH,286,16,6,1,1,2,0,"Carpenter, Bruce"
MATH,415,38,26,13,4,4,1,"Carpenter, Bruce"
MATH,416,16,11,7,5,2,0,"McCarthy, Randy"
MATH,417,12,12,6,1,1,1,"McCarthy, Randy"
MATH,441,16,5,7,0,1,3,"McCarthy, Randy"
MBA,542,450,11,2,1,0,0,"Hartman, Kevin E"
MBA,542,54,2,0,0,0,0,"Hartman, Kevin E"
MBA,546,386,21,0,0,0,0,"Viswanathan, Madhubalan"
MBA,546,33,1,0,0,0,0,"Viswanathan, Madhubalan"
MBA,552,697,155,14,2,1,2,"Loewenstein, Jeffrey"
MBA,552,85,10,0,0,1,1,"Loewenstein, Jeffrey"
MBA,562,473,19,0,0,0,0,"Hartman, Kevin E"
MBA,563,489,50,0,0,2,0,"Seshadri, Sridhar"
MBA,563,27,3,0,0,2,0,"Seshadri, Sridhar"
MBA,565,20,14,0,0,0,0,"Laney, Douglas B"
MCB,246,10,8,6,0,0,0,"Brown, Chester M"
MCB,252,15,14,6,3,0,0,"Rivier, David H"
MCB,317,23,11,5,3,1,0,"Rivier, David H"
MCB,450,40,13,4,4,1,0,"Alt, Renee L"
ME,200,11,13,6,0,3,0,"Alidoost, Kazem"
ME,400,42,15,0,0,0,0,"Liebenberg, Leon"
MUS,130,30,1,0,1,0,0,"Magee, Gayle S"
MUS,130,42,10,5,0,5,0,"Magee, Gayle S"
MUS,132,149,19,5,0,3,0,"Eagen, Megan K"
MUS,132,65,7,4,2,0,0,"Eagen, Megan K"
MUS,133,85,1,1,0,0,0,"Silvers, Michael B"
MUS,133,43,2,0,0,0,0,"Silvers, Michael B"
MUS,444,29,1,0,0,0,0,"Sweet, Bridget M"
PHYS,101,42,25,15,6,0,0,"Zich, Raymond L"
PHYS,102,20,19,10,10,1,2,"Carrubba, James G"
PHYS,211,17,7,4,6,0,1,"Shoaf, Curtis M"
PHYS,212,34,13,11,9,1,0,"Chamberlain, Robert T"
PHYS,213,53,42,24,10,0,7,"Hassani, Sadri D"
