CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,24,17,5,1,0,0,"Silhan, Peter A"
ACCY,202,24,11,4,1,0,0,"Shapland, Julia P"
ACCY,501,17,12,4,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,12,12,2,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,16,9,3,0,0,1,"Augusto Sampaio, Gerlando"
ACCY,503,141,55,7,0,0,0,"Fisher, Mitchell B"
ACCY,503,7,12,4,0,1,0,"Fisher, Mitchell B"
ACCY,532,154,6,0,1,0,0,"Urcan, Oktay"
ACCY,550,18,8,0,0,0,0,"Hutchens, Matthew"
ACCY,554,15,8,0,0,0,0,"Hutchens, Matthew"
ACCY,593,24,8,2,0,0,0,"Kustanovich, Michael"
ACE,240,17,10,4,4,1,0,"Stoddard, Paul B"
ADV,281,15,6,2,1,0,0,"Ham, Chang Dae"
AFRO,100,21,14,2,2,4,0,"McMillion, Desiree Y"
AFRO,132,25,18,10,0,3,0,"Meyers, John P"
AFST,222,12,7,2,1,0,0,"Barro, Maimouna A"
ANSC,205,41,5,3,1,5,0,"Emmert, Jason L"
ANTH,103,27,10,2,5,1,0,"Shin, Jeongsu"
ANTH,180,26,4,3,0,1,0,"Silverman, Helaine I"
ANTH,246,34,5,3,5,0,0,"Sgheiza, Valerie"
ART,100,17,8,1,2,1,0,"Hetrick, Laura"
ARTJ,209,15,10,2,1,3,1,"Stirek, Lindsey L"
ASTR,100,14,5,3,2,2,0,"Dunne, Bryan C"
ASTR,330,37,11,4,0,1,0,"Looney, Leslie W"
ATMS,120,33,12,3,3,3,3,"Choate, Jessica J"
BADM,275,45,3,0,0,0,0,"Baddam, Swathi Reddy"
BADM,300,76,15,7,3,0,0,"Warnick, Emerson T"
BADM,310,30,1,0,0,0,0,"Ji, Mingshuang"
BADM,311,54,3,2,1,4,0,"Luckman, Elizabeth"
BADM,320,96,6,2,0,1,0,"Kim, Myoung Hee"
BADM,350,20,4,2,0,0,1,"Sachdev, Vishal"
BADM,380,20,8,1,2,1,0,"Bucheli, Marcelo"
BADM,403,60,3,1,0,0,0,"Fricke, Michael R"
BADM,544,700,294,25,3,5,1,"Somaya, Deepak"
BADM,544,40,17,3,0,1,0,"Somaya, Deepak"
BADM,550,30,1,0,0,0,0,"Noonan, James R"
BADM,567,18,8,0,0,0,1,"Moshref Javadi, Mohammad"
BADM,588,25,1,0,0,0,0,"Dahl, James G"
BADM,590,18,19,5,0,0,0,"Sachdev, Vishal"
BADM,590,25,9,1,0,0,1,"Parthasarathy, Rangarajan"
BTW,250,16,0,0,0,5,0,"Keener, Jamie R"
BUS,401,40,1,1,0,0,0,"Martinez, Candace A"
CHEM,102,8,18,9,11,5,5,"Marville, Kelly"
CHEM,104,15,40,38,7,1,0,"Ray, Christian R"
CHEM,232,15,24,20,8,2,1,"Axelson, Jordan C"
