CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,16,15,0,0,1,0,"Kwon, Yaejoon"
AAS,100,16,11,5,0,0,0,"Kwon, Yaejoon"
AAS,100,26,2,3,0,1,0,"Arnaldo, Constancio"
AAS,100,23,7,2,0,1,0,"Arnaldo, Constancio"
AAS,100,23,3,2,1,0,0,"Winkelmann, Marie T"
AAS,100,24,6,0,1,0,0,"Winkelmann, Marie T"
AAS,100,20,14,0,0,0,0,"Tsou, Elda"
AAS,100,13,13,1,0,0,1,"Marasigan, Cynthia L"
AAS,120,10,8,6,2,0,1,"Pham, Vincent N"
AAS,120,2,16,5,1,0,0,"Pham, Vincent N"
AAS,120,7,9,6,1,1,1,"Lee, Alexander J"
AAS,211,22,1,0,1,0,0,"Yang, Caroline H"
AAS,315,13,14,1,0,0,0,"Ngo, Fiona"
ABE,141,21,21,1,2,0,0,"Danao, Mary-Grace"
ABE,222,26,20,4,0,0,0,
ABE,425,14,13,0,0,0,0,"Grift, Tony E"
ABE,436,20,27,4,1,0,1,"Wang, Xinlei"
ABE,457,18,3,0,0,0,0,"Kalita, Prasanta K"
ABE,469,21,17,0,0,0,0,"Zahos, Stephen C"
ACCY,200,34,25,21,13,2,0,"Silhan, Peter A"
ACCY,200,25,2,0,0,0,0,"Finnegan, Thomas"
ACCY,201,19,9,2,1,0,0,"Lahr, Tom M"
ACCY,201,25,9,0,0,0,0,"Davidson, Laura M"
ACCY,201,22,12,4,1,0,0,"Peckler, Rachel L"
ACCY,201,33,10,1,0,1,0,"Peckler, Rachel L"
ACCY,201,23,12,5,1,0,0,"Davidson, Laura M"
ACCY,201,27,12,1,0,0,0,"Lowry, Carolyn M"
ACCY,201,17,19,6,3,0,0,"Lowry, Carolyn M"
ACCY,202,12,16,3,1,0,0,"Bradley, Kellie R"
ACCY,202,9,14,2,1,0,0,"Bobbitt, Lindsay L"
ACCY,202,8,15,1,0,0,1,"Bobbitt, Lindsay L"
ACCY,202,5,13,2,2,0,1,"Fertl, Christina A"
ACCY,202,13,18,4,0,0,0,"Crinion, Maureen P"
ACCY,202,19,15,7,1,0,0,"Crinion, Maureen P"
ACCY,202,13,24,3,0,0,0,"Bradley, Kellie R"
ACCY,202,14,12,7,0,0,0,"Fertl, Christina A"
ACCY,202,19,19,4,0,0,0,"Michael, David W"
ACCY,202,11,21,4,0,0,0,"Sothikhoun, Alain R"
ACCY,202,22,14,4,0,0,0,"Patzik, Benjamin M"
ACCY,202,14,25,3,1,0,0,"Michael, David W"
ACCY,202,12,24,4,1,0,1,"Hamilton, Lori C"
ACCY,202,11,23,5,0,0,0,"Hamilton, Lori C"
ACCY,202,16,19,0,0,0,0,"Patzik, Benjamin M"
ACCY,202,9,24,6,0,0,0,"Sothikhoun, Alain R"
ACCY,301,19,15,0,1,0,0,"Gong, Jianxin"
ACCY,301,8,18,3,0,0,0,"Zhou, Hailan"
ACCY,301,16,17,1,0,0,0,"Zhou, Hailan"
ACCY,301,11,22,2,0,0,0,"Zhou, Hailan"
ACCY,301,18,15,1,0,0,0,"Gong, Jianxin"
ACCY,302,6,14,5,0,0,0,"Autrey, Romana L"
ACCY,302,14,9,3,0,0,0,"Autrey, Romana L"
ACCY,302,15,9,4,0,0,0,"Autrey, Romana L"
ACCY,302,17,10,0,0,0,0,"Sandretto, Michael J"
ACCY,302,11,15,0,0,1,0,"Farrell, Anne M"
ACCY,302,12,13,2,1,0,0,"Farrell, Anne M"
ACCY,303,17,22,1,0,0,0,"Li, Yue"
ACCY,303,9,30,1,0,0,0,"Li, Yue"
ACCY,303,17,21,3,0,0,1,"Li, Yue"
ACCY,303,15,25,1,2,0,0,"Li, Wei"
ACCY,303,15,24,3,0,0,0,"Li, Wei"
