CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,64,54,20,0,0,0,"Silhan, Peter A"
ACCY,301,18,40,0,0,0,0,"Burke, Joseph W"
ACCY,301,28,26,0,0,0,0,"Yoon, Ha Young"
ACCY,302,32,28,0,0,0,0,"Cikurel, Deni"
ACCY,302,28,18,8,0,0,0,"Hudgins, Ryan M"
ACCY,303,16,20,2,0,0,0,"Wang, Dongyi"
ACCY,304,28,16,4,2,0,0,"Cheong, Seo Sun"
ACCY,312,26,20,6,2,0,0,"Gale, Brian T"
ACCY,405,12,12,2,0,0,0,"Hetrick, Kamber V"
ACCY,410,28,14,6,0,0,0,"Kustanovich, Michael"
ACCY,501,40,16,0,0,0,0,"Ahmed, Waqar"
ACCY,501,28,34,2,2,0,0,"Ahmed, Waqar"
ACCY,503,40,6,0,0,0,2,"Hecht, Gary W"
ACCY,551,28,18,0,0,0,0,"Kalish, Kent J"
ACCY,557,32,14,0,0,0,0,"Ulleweit, Michael"
ACCY,559,38,8,0,0,0,0,"Giertz, J F"
ACCY,559,26,20,0,0,0,0,"Meier, Walter K"
ACCY,560,76,2,0,0,0,0,"Chandler, John S"
ACE,100,2,12,6,4,0,0,"Gundersen, Lisa C"
ACE,240,130,56,10,6,0,0,"Stoddard, Paul B"
ADV,150,14,8,2,0,0,0,"Meron, Shachar"
ADV,281,28,44,2,4,0,0,"Sar, Sela"
ADV,350,18,16,0,2,2,0,"Wirtz, John"
AFST,222,42,2,2,0,0,0,"Barro, Maimouna A"
ANSC,110,58,4,0,0,2,0,"Allen, Crystal A"
ANSC,331,16,14,2,0,0,0,"Nowak, Romana A"
ANTH,103,52,46,24,2,10,2,"O' Brien, Kathleen C"
ANTH,143,48,22,8,8,2,4,"Stinespring-Har, Ashley"
ANTH,209,48,12,10,6,0,0,"Manalansan, Martin F"
ANTH,246,18,16,14,8,2,2,"Hughes, Cris E"
ART,100,30,24,2,2,2,0,"Burns, Jennifer"
ART,205,26,10,4,0,0,4,"Peterson, Matthew"
ARTD,209,56,12,8,2,6,2,"Gunji-Ballsrud, Jennifer"
ASTR,100,28,26,16,14,6,2,"Katolik, Michael E"
ATMS,120,576,84,20,6,14,0,"Snodgrass, Eric R"
BADM,300,182,40,8,8,0,0,"Fricke, Michael R"
BADM,300,110,60,10,0,0,2,"Marrs, Gregory A"
BADM,310,18,10,2,0,0,0,"Lim, Jaegoo"
BADM,310,264,50,10,4,12,4,"Shabbir, Muhammad S"
BADM,320,144,22,4,4,4,2,"Shabbir, Muhammad S"
BADM,340,12,16,12,0,0,0,"Winter, Gretchen A"
BADM,350,70,22,10,4,4,0,"Sachdev, Vishal"
BADM,375,40,22,8,0,2,2,"Pirim, Taner"
BADM,380,34,42,6,4,2,0,"Bucheli, Marcelo"
