CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,18,12,1,0,0,0,"Thomas, Merin A"
AAS,100,18,11,0,0,2,0,"Lee, Sang S"
AAS,100,14,10,0,0,2,0,"Kang, Yoonjung"
AAS,100,16,11,2,1,0,0,"Thomas, Merin A"
AAS,100,18,9,0,0,1,0,"Lee, Sang S"
AAS,105,20,2,1,1,0,0,"Sharif, Lila A"
AAS,211,13,8,3,2,2,0,"Nguyen, Mimi T"
AAS,246,25,4,2,0,0,1,"Kwon, Soo Ah"
AAS,287,28,2,0,0,0,0,"Sharif, Lila A"
ABE,100,44,7,2,0,0,0,"Green-Miller, Angela"
ABE,223,21,16,4,1,0,0,"Grift, Tony E"
ABE,224,32,9,1,1,0,0,"Bhattarai, Rabin"
ABE,430,107,3,0,0,0,0,"Davidson, Paul C"
ABE,436,15,20,6,0,0,0,"Wang, Xinlei"
ABE,466,13,7,3,1,0,0,"Hansen, Alan C"
ABE,488,16,12,2,0,0,0,"Singh, Vijay"
ACCY,200,135,83,33,9,1,1,"Silhan, Peter A"
ACCY,201,17,11,3,0,0,1,"Fisher, Mitchell B"
ACCY,201,17,11,5,2,0,1,"Fisher, Mitchell B"
ACCY,201,11,14,7,4,0,0,"Fisher, Mitchell B"
ACCY,201,12,14,7,0,1,1,"Fisher, Mitchell B"
ACCY,201,16,11,6,3,0,0,"Fisher, Mitchell B"
ACCY,201,12,8,7,1,2,1,"Fisher, Mitchell B"
ACCY,201,23,9,4,0,0,0,"Fisher, Mitchell B"
ACCY,201,11,11,8,1,2,0,"Fisher, Mitchell B"
ACCY,201,11,10,7,1,0,1,"Fisher, Mitchell B"
ACCY,201,15,9,5,4,0,0,"Fisher, Mitchell B"
ACCY,201,14,13,7,1,2,0,"Fisher, Mitchell B"
ACCY,201,18,4,8,2,1,0,"Fisher, Mitchell B"
ACCY,201,15,14,5,0,2,0,"Fisher, Mitchell B"
ACCY,201,14,7,11,1,0,0,"Fisher, Mitchell B"
ACCY,201,10,19,3,3,1,0,"Fisher, Mitchell B"
ACCY,201,13,12,8,2,0,0,"Fisher, Mitchell B"
ACCY,201,11,16,7,1,0,1,"Fisher, Mitchell B"
ACCY,201,10,14,8,1,1,0,"Fisher, Mitchell B"
ACCY,202,4,13,6,0,3,0,"Shapland, Julia P"
ACCY,202,18,19,5,0,0,0,"Shapland, Julia P"
ACCY,202,18,20,2,1,0,0,"Shapland, Julia P"
ACCY,202,15,25,5,0,0,0,"Shapland, Julia P"
ACCY,202,6,23,10,1,0,0,"Shapland, Julia P"
ACCY,202,13,12,5,0,1,0,"Shapland, Julia P"
ACCY,301,12,12,3,1,0,0,"Li, Wei"
ACCY,301,11,10,6,1,0,0,"Anderson, Spencer B"
ACCY,301,19,5,3,0,0,0,"Anderson, Spencer B"
ACCY,301,13,12,0,0,0,0,"Wang, Zhiguang"
ACCY,301,12,8,4,0,0,0,"Li, Wei"
ACCY,301,10,11,3,0,0,0,"Sougiannis, Theodore"
ACCY,301,16,7,4,0,0,0,"Wang, Zhiguang"
ACCY,301,12,11,3,0,1,0,"Sougiannis, Theodore"
ACCY,302,10,17,4,0,0,0,"Finnegan, Thomas"
ACCY,302,16,15,1,0,0,0,"Finnegan, Thomas"
ACCY,302,16,14,0,0,0,0,"Wu, Martin G"
ACCY,302,12,19,0,0,0,0,"Curtis, Susan M"
ACCY,302,19,9,2,0,0,0,"Curtis, Susan M"
ACCY,302,13,15,2,1,0,0,"Curtis, Susan M"
ACCY,302,19,11,2,0,0,0,"Wu, Martin G"
ACCY,303,11,10,2,4,0,0,"Zhu, Wei"
ACCY,303,15,10,3,2,0,0,"Zhu, Wei"
ACCY,303,16,14,1,2,0,0,"Godsell, David"
ACCY,303,18,7,8,0,0,0,"Godsell, David"
ACCY,303,18,8,5,1,0,0,"Hamm, Brian K"
ACCY,303,18,9,5,0,1,0,"Hamm, Brian K"
ACCY,303,14,16,2,1,0,0,"Li, Wei"
ACCY,304,12,18,4,3,0,0,"Koo, Seung Hyun"
ACCY,304,16,14,3,0,0,0,"Koo, Seung Hyun"
ACCY,304,22,10,2,0,1,0,"Koo, Seung Hyun"
ACCY,304,13,14,5,2,0,0,"Hayne, Christie"
ACCY,304,10,23,2,0,0,0,"Hayne, Christie"
ACCY,304,22,11,0,0,0,0,"Hayne, Christie"
ACCY,312,7,11,5,1,0,1,"Penn, Michael W"
ACCY,312,21,10,1,0,0,0,"Penn, Michael W"
ACCY,312,17,13,0,0,1,0,"Penn, Michael W"
ACCY,312,13,17,0,0,0,0,"Penn, Michael W"
ACCY,312,14,10,4,1,0,0,"Alt, Amanda J"
ACCY,312,14,10,4,0,0,0,"Holder, Charles B"
ACCY,312,17,10,2,1,1,0,"Alt, Amanda J"
ACCY,405,10,12,1,0,0,0,"Leiby, Justin"
ACCY,405,13,11,0,0,0,0,"Leiby, Justin"
ACCY,405,14,8,0,0,0,0,"Leiby, Justin"
ACCY,410,15,15,3,0,0,0,"Steward, Cynthia G"
ACCY,410,18,11,4,1,0,0,"Steward, Cynthia G"
ACCY,410,21,15,2,1,0,0,"Kustanovich, Michael"
ACCY,410,16,13,3,0,0,0,"Kustanovich, Michael"
ACCY,415,12,24,0,0,0,0,"Lullo, Michael J"
ACCY,415,11,19,2,0,2,0,"Lullo, Michael J"
ACCY,415,8,25,1,1,0,0,"Lullo, Michael J"
ACCY,451,15,10,5,0,0,0,"Holder, Charles B"
ACCY,451,20,12,0,0,0,0,"Hutchens, Matthew"
ACCY,451,17,9,5,0,0,0,"Holder, Charles B"
ACCY,451,16,14,4,0,0,0,"Hutchens, Matthew"
ACCY,451,11,15,1,0,0,0,"Sternburg, Thomas"
ACCY,500,31,4,1,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,500,33,4,1,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,500,515,158,0,0,2,0,"Urcan, Oktay"
ACCY,500,12,20,14,0,0,0,"Zhang, Li"
ACCY,500,45,21,0,0,6,1,"Urcan, Oktay"
ACCY,501,84,41,4,0,0,1,"Davis, Gregory L"
ACCY,501,90,28,7,0,0,1,"Davis, Gregory L"
ACCY,501,20,11,2,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,15,4,2,0,2,0,"Davis, Gregory L"
ACCY,501,14,6,0,0,1,0,"Davis, Gregory L"
ACCY,502,24,11,2,0,0,0,"Schwartz, Rachel"
ACCY,502,30,10,2,0,0,0,"Schwartz, Rachel"
ACCY,502,18,9,3,1,0,0,"Schwartz, Rachel"
ACCY,503,39,10,1,0,0,0,"Fisher, Mitchell B"
ACCY,504,14,13,0,0,0,0,"Pesch, Heather L"
ACCY,504,19,23,1,0,0,0,"Pesch, Heather L"
ACCY,504,21,17,1,0,0,0,"Pesch, Heather L"
ACCY,504,10,8,6,0,0,0,"Peecher, Mark E"
ACCY,504,10,11,0,1,0,0,"Peecher, Mark E"
ACCY,505,13,16,6,0,0,0,"Chatterton, Angel"
ACCY,505,18,10,6,0,0,0,"Holder, Daniel E"
ACCY,505,20,14,0,0,0,0,"Holder, Daniel E"
ACCY,505,16,9,1,0,0,0,"Chatterton, Angel"
