CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,25,3,1,0,1,0,"Boonsripaisal, Simon"
AAS,100,21,6,2,0,1,0,"Boonsripaisal, Simon"
AAS,100,15,12,4,0,0,0,"Uhall, Michael B"
AAS,100,16,5,4,0,0,0,"Uhall, Michael B"
AAS,100,12,6,4,2,1,0,"Kang, Yoonjung"
AAS,100,11,6,5,0,3,0,"Kang, Yoonjung"
AAS,100,17,12,3,0,0,0,"Park, Doo Jae"
AAS,100,19,4,7,1,1,0,"Park, Doo Jae"
AAS,100,16,9,6,0,1,0,"Thomas, Merin A"
AAS,100,20,6,3,0,0,0,"Lee, Sang S"
AAS,215,25,4,3,0,0,0,"Compoc, Kimberly M"
AAS,258,23,2,0,0,0,0,"Rana, Junaid"
ABE,225,11,24,2,2,1,1,"Zhang, Yuanhui"
ABE,226,20,18,3,0,0,0,"Singh, Vijay"
ABE,425,32,9,1,0,0,0,"Grift, Tony E"
ABE,469,25,6,2,0,0,0,"Witmer, Ann-Perry"
ACCY,200,126,104,67,4,1,0,"Silhan, Peter A"
ACCY,200,37,4,0,0,0,0,
ACCY,201,21,12,1,0,1,0,"Sumbada, Jason"
ACCY,201,18,10,9,1,0,0,
ACCY,201,17,10,5,1,0,0,
ACCY,201,21,10,5,0,1,0,
ACCY,201,22,10,6,0,0,0,
ACCY,201,20,9,5,1,1,0,
ACCY,201,21,10,4,0,1,0,
ACCY,201,25,13,1,1,0,0,
ACCY,201,30,5,2,1,0,0,
ACCY,201,14,13,7,2,0,0,
ACCY,201,21,10,4,0,1,0,
ACCY,201,22,13,3,0,0,0,
ACCY,202,16,15,4,0,0,0,
ACCY,202,9,9,3,0,0,0,
ACCY,202,13,13,3,0,0,0,
ACCY,202,12,20,2,0,0,0,
ACCY,202,11,18,5,0,0,0,
ACCY,202,11,9,9,0,0,0,
ACCY,202,6,16,4,0,0,0,
ACCY,202,14,13,7,0,0,0,"O'Neill, Peyton D"
ACCY,202,17,10,6,0,0,0,"Siebert, Julia E"
ACCY,202,11,20,4,0,0,0,"McNamee, Daniel B"
ACCY,202,12,20,1,0,0,0,"Li, Xiongjie"
ACCY,202,11,19,5,0,0,0,"Boals, Jennifer L"
ACCY,202,11,15,3,0,0,0,"Kwon, Jieun"
ACCY,202,13,13,5,0,0,0,"Kwon, Jieun"
ACCY,202,14,16,4,0,0,0,"Li, Xiongjie"
ACCY,202,12,11,6,0,0,0,"Boals, Jennifer L"
ACCY,301,12,12,2,0,0,0,"Davis, Gregory L"
ACCY,301,9,15,2,0,0,0,"Davis, Gregory L"
ACCY,301,12,12,1,1,0,0,"Mendoza, Scott A"
ACCY,301,14,10,3,0,0,0,"Anderson, Spencer B"
ACCY,301,10,9,2,0,0,0,"Anderson, Spencer B"
ACCY,301,11,13,2,0,0,0,"Anderson, Spencer B"
ACCY,302,17,9,1,0,0,0,"Herbold, T J"
ACCY,302,15,5,3,0,0,0,"Herbold, T J"
ACCY,302,17,9,1,0,0,0,"Curtis, Susan M"
ACCY,302,13,13,0,0,0,0,"Curtis, Susan M"
ACCY,302,13,13,0,0,0,0,"Herbold, T J"
ACCY,302,17,13,0,0,0,0,"Zhang, Zheng"
ACCY,303,19,12,1,0,0,0,"Hamm, Brian K"
ACCY,303,21,6,7,0,0,0,"Schwartz, Rachel"
ACCY,303,8,12,3,1,1,0,"Hamm, Brian K"
ACCY,303,19,9,2,3,0,0,"Hamm, Brian K"
ACCY,303,18,9,6,0,0,0,"Schwartz, Rachel"
ACCY,303,17,9,8,0,0,0,"Schwartz, Rachel"
ACCY,304,20,13,3,0,0,0,"Wu, Martin G"
ACCY,304,22,10,2,0,0,0,"Kink, Dawn M"
ACCY,304,21,12,2,0,0,0,"Wu, Martin G"
ACCY,304,9,15,6,0,0,0,"Wang, Wei"
ACCY,304,17,16,1,0,0,0,"Wang, Wei"
ACCY,304,13,14,7,0,0,0,"Wang, Wei"
ACCY,312,7,13,4,0,0,0,"Hutchens, Michelle L"
ACCY,312,13,7,3,0,0,0,"Hutchens, Michelle L"
ACCY,312,12,4,4,0,1,0,"Holder, Daniel E"
ACCY,312,14,6,3,0,0,0,"Hutchens, Michelle L"
ACCY,312,10,9,2,0,0,0,"Holder, Charles B"
ACCY,312,12,9,3,0,0,0,"Holder, Daniel E"
ACCY,398,96,1,4,0,0,0,"Nekrasz, Frank"
ACCY,398,65,1,0,0,0,0,"Nekrasz, Frank"
ACCY,405,6,14,2,0,0,0,"Lullo, Michael J"
ACCY,410,12,10,4,0,0,0,"Chen, Ciao-Wei"
ACCY,410,9,9,5,0,0,0,"Kustanovich, Michael"
ACCY,410,7,14,2,0,0,0,"Chen, Ciao-Wei"
ACCY,410,13,10,1,0,0,0,"Chen, Ciao-Wei"
ACCY,410,13,11,2,0,0,0,"Steward, Cynthia G"
ACCY,410,14,7,1,2,0,0,"Steward, Cynthia G"
ACCY,415,28,4,3,0,0,0,"Ciconte, William"
ACCY,415,12,8,9,2,0,0,"Ciconte, William"
ACCY,415,26,8,0,0,1,0,"Ciconte, William"
ACCY,415,24,8,3,0,0,0,"Kink, Dawn M"
ACCY,451,18,7,1,0,0,0,"Donohoe, Michael P"
ACCY,451,17,8,4,0,0,0,"Holder, Charles B"
ACCY,451,13,7,2,0,0,0,"Alt, Amanda J"
ACCY,451,20,8,2,0,0,0,"Holder, Charles B"
ACCY,451,16,11,1,0,0,0,"Hutchens, Matthew"
ACCY,500,205,58,0,0,2,2,"Urcan, Oktay"
ACCY,501,56,27,4,1,1,0,"Augusto Sampaio, Gerlando"
ACCY,501,58,23,2,0,1,2,"Augusto Sampaio, Gerlando"
ACCY,501,11,10,2,2,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,11,8,1,1,1,1,"Augusto Sampaio, Gerlando"
ACCY,502,78,44,12,3,3,1,"Ibrahim, Adel Nematallah"
ACCY,502,55,50,23,4,0,1,"Ibrahim, Adel Nematallah"
ACCY,503,22,9,0,0,0,0,"Curtis, Susan M"
ACCY,503,95,38,2,0,0,1,"Hecht, Gary W"
ACCY,503,107,24,3,0,0,0,"Hecht, Gary W"
ACCY,503,296,215,13,0,0,0,"Hecht, Gary W"
ACCY,504,35,3,0,0,0,0,"Chatterton, Angel"
ACCY,504,37,1,0,0,0,0,"Chatterton, Angel"
ACCY,504,32,1,0,0,0,0,"Chatterton, Angel"
ACCY,506,15,10,0,0,0,0,"Urcan, Oktay"
ACCY,506,32,5,0,0,0,0,"Urcan, Oktay"
ACCY,506,23,15,0,0,0,0,"Urcan, Oktay"
ACCY,507,49,6,0,0,0,1,"Donohoe, Michael P"
ACCY,507,48,4,0,0,0,0,"Donohoe, Michael P"
ACCY,517,20,2,0,0,0,0,"Fanning, Kirsten B"
ACCY,517,25,3,0,0,0,0,"Fanning, Kirsten B"
ACCY,517,19,3,0,0,0,0,"Li, Yue"
ACCY,518,38,1,0,0,0,0,"Nekrasz, Frank"
ACCY,518,37,0,1,0,0,0,"Nekrasz, Frank"
ACCY,550,19,3,1,0,0,0,"Hutchens, Matthew"
ACCY,552,8,16,0,0,0,0,"Sternburg, Thomas"
ACCY,552,14,14,0,0,0,0,"Sternburg, Thomas"
ACCY,554,22,2,1,0,0,0,"Hutchens, Matthew"
ACCY,571,23,3,0,0,0,0,"Brunner, Robert J"
ACCY,575,32,1,1,0,0,0,"Brown, Timothy J"
ACCY,575,34,1,1,0,0,0,"Brown, Timothy J"
ACCY,575,28,3,0,0,0,0,"Brown, Timothy J"
ACCY,575,34,2,0,1,0,0,"Hobson, Jessen L"
ACCY,575,29,4,1,0,0,0,"Hobson, Jessen L"
ACCY,575,35,1,0,0,0,0,"Hobson, Jessen L"
ACCY,575,22,7,0,0,0,0,"Penn, Michael W"
ACCY,575,27,8,0,0,0,0,"Penn, Michael W"
ACCY,576,30,2,0,0,0,0,"Guymon, Ronald N"
ACCY,577,26,0,0,0,1,0,"Lu, Zhenzhong L"
ACE,100,15,5,3,2,1,0,"Yu, Chengzheng"
ACE,100,6,7,4,2,2,0,"Yu, Chengzheng"
ACE,100,5,8,7,0,2,0,"Wei, Min-Fang"
ACE,161,14,2,3,0,2,0,"Batts, Ryan M"
ACE,161,13,5,4,0,0,0,"Burnett, Meghan L"
ACE,161,17,3,2,1,1,0,"Lo, Alexander C"
ACE,161,15,8,2,0,1,0,"Batts, Ryan M"
ACE,161,16,8,1,0,0,0,"Lo, Alexander C"
ACE,161,40,9,3,0,1,0,"Burnett, Meghan L"
ACE,161,14,6,4,1,1,0,"Lo, Alexander C"
ACE,161,16,8,3,0,0,0,"Lo, Alexander C"
ACE,199,45,2,0,0,0,0,"Lo, Alexander C"
ACE,210,57,41,11,3,0,0,"Gramig, Benjamin"
ACE,231,115,43,7,3,1,0,"Stoddard, Paul B"
ACE,232,34,18,0,0,0,0,"Hubbs, Joseph T"
ACE,240,182,9,19,1,2,1,"Lemoine, Craig"
ACE,240,291,32,12,3,4,0,"Lemoine, Craig"
ACE,240,53,10,4,2,3,0,"Stoddard, Paul B"
ACE,251,21,34,13,3,2,0,"Gundersen, Craig"
ACE,254,20,9,1,2,0,0,"Amadu, Festus O"
ACE,255,122,3,0,0,3,0,"Ando, Amy W"
ACE,261,28,20,14,6,0,0,"Gundersen, Lisa C"
ACE,264,14,8,13,2,3,0,"Dall'Erba, Sandy"
ACE,270,18,40,18,2,2,0,"Gundersen, Craig"
ACE,300,33,18,6,2,1,0,"Anderson, Patrese N"
ACE,310,38,12,4,1,0,0,"Brazee, Richard J"
ACE,335,45,9,0,0,0,0,"Ellison, Brenna"
ACE,341,30,3,1,0,0,0,"Finnegan, Ann B"
ACE,360,15,7,0,0,0,0,"Funes Leal, Victor E"
ACE,360,40,15,0,1,1,0,"Lin, Zhiling"
ACE,398,32,2,1,0,1,0,"Lemoine, Craig"
ACE,403,16,5,1,1,0,0,"Coppess, Jonathan W"
ACE,427,17,10,7,0,0,0,"Irwin, Scott H"
ACE,428,29,5,2,1,0,0,"Tremacoldi Ross, Pedro"
ACE,430,15,15,8,0,1,0,"Goldsmith, Peter D"
ACE,431,29,9,0,0,0,0,"Moss, LeeAnn E"
ACE,435,39,31,2,0,0,0,"Schnitkey, Gary D"
ACE,440,25,10,2,0,0,0,"Allen, Sharon C"
ACE,444,30,13,4,0,0,0,"Sherrick, Bruce J"
ACE,446,47,4,2,0,0,0,"Sherrick, Bruce J"
ACE,449,54,7,3,0,0,0,"Xu, Yilan"
ACE,451,16,17,5,0,0,0,"McNamara, Paul E"
ACE,474,12,27,14,0,0,0,"Lyons, Angela C"
ACE,476,13,32,9,0,0,0,"Lyons, Angela C"
ADV,150,224,19,4,4,6,0,"Hall, Steven R"
ADV,270,59,1,2,1,0,0,"Clifton, Dionne J"
ADV,281,19,5,4,1,0,0,"Hamilton, Kristy A"
