CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,23,2,1,1,1,0,"Boonsripaisal, Simon"
AAS,100,15,8,2,1,1,0,"Kang, Yoonjung"
AAS,100,20,3,2,0,2,0,"Wang, Yu"
AAS,100,24,2,2,0,0,0,"Boonsripaisal, Simon"
AAS,100,22,5,1,1,1,0,"Kang, Yoonjung"
AAS,100,16,7,4,1,1,0,"Wang, Yu"
AAS,100,20,5,2,0,2,0,"Guruparan, Akil"
AAS,100,20,4,3,0,1,0,"Guruparan, Akil"
AAS,100,19,7,0,1,0,0,"Horton, Christina M"
AAS,100,26,1,1,0,0,0,"Horton, Christina M"
AAS,105,26,6,0,0,1,0,"Sharif, Lila A"
AAS,120,21,9,0,0,0,0,"Tabares, Leland"
AAS,200,21,8,0,0,1,0,"Tabares, Leland"
ABE,100,25,2,0,2,1,0,"Tucker, Christina M"
ABE,199,21,1,0,0,0,0,"Kalita, Prasanta K"
ABE,224,20,14,0,0,0,0,"Kalita, Prasanta K"
ABE,430,32,3,0,0,0,0,"Davidson, Paul C"
ABE,436,16,16,3,0,0,0,"Wang, Xinlei"
ABE,488,15,5,2,0,1,0,"Singh, Vijay"
ACCY,200,130,81,79,5,1,0,"Silhan, Peter A"
ACCY,201,96,80,45,6,4,0,"Fisher, Mitchell B"
ACCY,201,101,69,55,16,10,0,"Fisher, Mitchell B"
ACCY,202,111,134,52,0,1,0,"Shapland, Julia P"
ACCY,202,30,8,0,0,0,0,"Shapland, Julia P"
ACCY,301,17,5,2,0,0,0,"Davis, Gregory L"
ACCY,301,16,10,6,1,0,0,"Jang, Hansol"
ACCY,301,10,18,1,0,0,0,"Mendoza, Scott A"
ACCY,301,16,17,3,1,0,0,"Mendoza, Scott A"
ACCY,301,10,20,1,0,1,0,"Jang, Hansol"
ACCY,301,20,14,2,0,0,0,"Mendoza, Scott A"
ACCY,301,13,13,4,0,0,0,"Jang, Hansol"
ACCY,302,22,11,0,0,0,0,"Zhang, Zheng"
ACCY,302,17,14,2,0,1,0,"Samet, Jordan A"
