CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,14,7,0,0,0,0,"Zheng, Reanne"
AAS,100,17,5,1,0,1,0,"Zheng, Reanne"
AAS,100,24,1,0,0,0,0,"Shin, Jeongsu"
AAS,100,20,2,0,0,1,0,"Lee, Sabrina Y"
AAS,100,20,3,0,0,1,0,"Shin, Jeongsu"
AAS,100,21,0,0,0,2,1,"Mukhopadhyay, Anirban"
AAS,100,16,6,1,0,1,0,"Wang, Yu"
AAS,100,24,1,0,0,0,0,"Wang, Yu"
AAS,200,19,12,1,2,0,0,"Yan-Gonzalez, Vivian"
AAS,246,29,4,0,0,0,0,"Kwon, Soo Ah"
ABE,100,32,1,0,1,0,0,"Bhattarai, Rabin"
ABE,232,27,8,5,0,1,1,"Witmer, Ann-Perry"
ABE,430,88,3,2,0,0,1,"Davidson, Paul C"
ABE,488,14,19,3,0,0,0,"Singh, Vijay"
ABE,498,22,1,0,0,0,0,"Wang, Xinlei"
ACCY,200,135,45,10,0,0,0,"Zhang, Li"
ACCY,200,134,75,32,4,2,1,"Silhan, Peter A"
ACCY,201,131,64,31,13,6,1,"Fisher, Mitchell B"
ACCY,201,110,63,38,18,7,4,"Fisher, Mitchell B"
ACCY,201,17,4,1,1,0,0,"Fisher, Mitchell B"
ACCY,202,110,94,36,1,0,3,"Shapland, Julia P"
ACCY,202,33,3,0,0,1,0,"Shapland, Julia P"
ACCY,301,8,15,1,2,0,0,"Ibrahim, Adel Nematallah"
ACCY,301,16,7,4,1,0,0,"Anderson, Spencer B"
ACCY,301,15,8,2,0,0,0,"Johnson, Jennifer A"
ACCY,301,13,8,2,0,0,0,"Anderson, Spencer B"
ACCY,301,9,8,6,0,0,1,"Anderson, Spencer B"
ACCY,301,16,4,4,0,0,0,"Johnson, Jennifer A"
ACCY,302,13,11,2,0,0,0,"Samet, Jordan A"
ACCY,302,13,7,6,0,0,0,"Curtis, Susan M"
ACCY,302,14,11,1,0,0,0,"Samet, Jordan A"
ACCY,302,14,7,3,2,0,0,"Curtis, Susan M"
ACCY,302,7,14,4,2,0,0,"Curtis, Susan M"
ACCY,302,14,11,3,0,1,0,"Samet, Jordan A"
ACCY,303,12,8,6,1,0,0,"Pachera, Susan"
ACCY,303,16,6,3,1,0,0,"Pachera, Susan"
ACCY,303,12,11,3,0,0,0,"Godsell, David"
ACCY,303,14,4,6,0,0,0,"Pachera, Susan"
ACCY,303,13,10,1,2,0,0,"Godsell, David"
ACCY,304,13,9,6,0,0,0,"Williamson, Michael"
ACCY,304,20,8,1,0,0,0,"Dahle, Andrew J"
ACCY,304,10,12,2,0,0,0,"Dahle, Andrew J"
ACCY,304,8,15,5,0,0,0,"Dahle, Andrew J"
ACCY,304,15,9,3,0,0,0,"Williamson, Michael"
ACCY,312,9,13,4,0,0,0,"Hutchens, Matthew"
ACCY,312,15,8,2,0,0,0,"Penn, Michael W"
ACCY,312,12,10,3,0,0,0,"Holder, Charles B"
ACCY,312,10,6,3,0,2,1,"Holder, Charles B"
ACCY,312,8,10,4,0,0,1,"Vuong, Anh"
ACCY,312,10,11,1,0,0,0,"Penn, Michael W"
ACCY,312,14,8,4,0,0,0,"Vuong, Anh"
ACCY,405,25,8,2,0,0,0,"Kink, Dawn M"
ACCY,405,23,10,2,0,0,0,"Kink, Dawn M"
ACCY,405,22,12,0,0,1,0,"Kink, Dawn M"
ACCY,405,19,13,2,0,0,0,"Thompson, Anne M"
ACCY,405,14,15,2,1,0,1,"Thompson, Anne M"
ACCY,405,26,7,2,0,0,0,"Rogowski, Edward J"
ACCY,410,17,12,7,0,0,0,"Kustanovich, Michael"
ACCY,410,28,18,3,1,0,0,"Kustanovich, Michael"
ACCY,410,15,23,4,1,0,0,"Ibrahim, Adel Nematallah"
ACCY,410,20,15,3,0,0,1,"Ibrahim, Adel Nematallah"
ACCY,451,16,10,3,0,0,0,"Beardsley, Erik L"
