CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,49,24,10,3,1,1,"Silhan, Peter A"
ACCY,301,13,5,4,0,0,0,"Balaminut, Lucas S"
ACCY,302,7,14,1,0,0,0,"Williams, Jeffrey O"
ACCY,303,8,13,1,0,0,0,"Wang, Dongyi"
ACCY,304,9,14,0,0,0,0,"Kim, Minjeong"
ACCY,410,9,11,1,0,0,0,"Kustanovich, Michael"
ACCY,501,27,10,0,0,0,0,"Ahmed, Waqar"
ACCY,501,24,6,0,0,0,0,"Ahmed, Waqar"
ACCY,501,17,15,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,550,15,9,1,0,0,0,"Bergmann, Gregory A"
ACCY,551,16,9,0,0,0,0,"Shaw, Jeffrey M"
ACCY,556,22,3,0,0,0,0,"Fotzler, Jonathan B"
ACCY,559,20,5,0,0,0,0,"Giertz, J F"
ACCY,562,11,12,2,0,0,0,"Meier, Walter K"
ACCY,593,27,5,0,0,0,0,"Kustanovich, Michael"
ACE,240,43,17,1,3,2,0,"Stoddard, Paul B"
ADV,281,4,14,7,1,0,0,"Sar, Sela"
AGED,260,21,2,3,1,1,1,"Keating, Kari H"
ANSC,110,28,3,0,0,0,0,"Allen, Crystal A"
ANTH,103,40,22,5,7,1,0,"Lee, Alexander J"
ANTH,143,36,3,3,2,3,0,"Sanford, Summer R"
ANTH,209,21,4,2,1,1,0,"Manalansan, Martin F"
ANTH,246,18,9,0,2,1,0,"Zachwieja, Alexandra J"
ART,100,20,9,3,0,2,0,"Burns, Jennifer"
ART,205,15,4,0,2,1,0,"Thomas, Nekita S"
ARTD,209,26,12,9,2,5,2,"Gunji-Ballsrud, Jennifer"
ASTR,100,13,13,4,3,1,1,"Liao, Wei-Ting"
ASTR,330,37,4,3,0,1,0,"Wen, Di"
ATMS,120,133,91,43,4,20,2,"Snodgrass, Eric R"
BADM,300,81,26,6,0,2,0,"Fricke, Michael R"
BADM,300,27,33,20,2,0,9,"Marrs, Gregory A"
BADM,310,162,11,5,0,5,0,"Shabbir, Muhammad S"
BADM,320,130,13,2,1,3,0,"Shabbir, Muhammad S"
BADM,350,31,11,4,0,1,0,"Sachdev, Vishal"
BADM,375,9,14,10,1,1,0,"Scott, Nehemiah"
BADM,380,21,6,1,2,0,0,"Bucheli, Marcelo"
BADM,544,142,79,5,1,1,1,"Sleptsov, Alexander"
BADM,544,45,22,3,0,1,0,"Sleptsov, Alexander"
BADM,550,22,21,1,0,1,0,"Kurtz, Jeffrey M"
BADM,551,58,4,2,0,0,0,"Bradley, Joe A"
BADM,567,22,8,0,0,0,0,"Chhajed, Dilip"
BADM,567,31,10,0,0,0,0,"Chhajed, Dilip"
BADM,572,22,16,2,0,0,0,"Taghaboni-Dutta, Fataneh"
BADM,590,58,19,5,0,0,0,"Bucheli, Marcelo"
BADM,590,117,4,1,0,0,0,"Hartman, Kevin E"
BADM,590,172,12,0,0,0,0,"Loewenstein, Jeffrey"
BADM,590,22,2,1,0,0,0,"Loewenstein, Jeffrey"
BADM,590,29,0,0,0,1,0,"Hartman, Kevin E"
BADM,590,10,16,2,0,6,2,"Rindfleisch, Aric P"
