CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,21,1,0,0,0,0,"Kwon, Soo Ah"
ACCY,301,15,13,0,0,0,0,"Altiero, Elizabeth C"
ACCY,301,16,7,0,0,0,0,"White, Brian J"
ACCY,302,12,13,1,0,0,0,"Nichol, Jennifer E"
ACCY,302,9,16,2,0,0,0,"Turner, Cynthia W"
ACCY,303,15,9,0,0,0,1,"Chang, Hye Sun"
ACCY,312,12,10,2,0,0,0,"Holder, Daniel E"
ACCY,500,17,18,0,0,0,0,"Brown, Clifton E"
ACCY,501,18,8,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,22,14,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,510,13,13,0,0,0,0,"Polinski, Paul W"
ACCY,515,14,7,0,0,0,0,"Nekrasz, Frank"
ACCY,551,21,6,4,0,0,0,"Shaw, Jeffrey M"
ACCY,560,32,11,0,0,0,0,"Brown, Clifton E"
ACCY,560,38,7,0,0,0,0,"Chandler, John S"
ACCY,560,25,6,0,0,0,0,"Chandler, John S"
ADV,300,25,9,3,0,0,0,"Olson, Katrina M"
AGCM,270,26,1,0,0,0,0,"Cupps-Miller, Heather A"
ANSC,110,44,11,2,0,0,0,"Kesler, Darrel J"
ANTH,103,18,14,2,0,1,0,"Maas, Steven M"
ANTH,143,29,14,5,3,5,1,"Milich, Krista M"
ANTH,180,34,3,0,0,0,0,"Silverman, Helaine I"
ANTH,209,35,4,0,0,0,0,"Manalansan, Martin F"
ATMS,100,10,14,7,3,3,0,"Frame, Jeffrey"
BADM,300,29,5,3,0,0,0,"Kindt, John W"
BADM,300,24,10,1,0,0,1,"Kindt, John W"
BADM,310,26,4,0,0,0,0,"Deng, Lina"
BADM,310,19,4,1,2,1,0,"Jeong, Young-Chul"
BADM,320,39,2,0,0,0,0,"Shi, Hongyan"
BADM,320,12,14,1,0,0,0,"Ilhan, Behice E"
BADM,320,22,9,0,0,0,0,"Kulkarni, Atul A"
BADM,449,13,8,2,1,0,0,"Prince, Nicholas R"
BADM,520,33,1,0,0,0,0,"Qualls, William J"
BADM,520,38,3,0,0,0,0,"Noel, Hayden N"
BADM,551,32,15,0,0,0,0,"Kesan, Jay P"
BADM,552,13,26,0,0,0,0,"Lansing, Paul"
BADM,567,22,15,0,0,0,0,"Chhajed, Dilip"
BADM,567,18,17,0,0,0,0,"Petruzzi, Nicholas C"
BADM,567,28,13,0,0,0,0,"Chhajed, Dilip"
BADM,590,41,3,0,0,0,0,"Kurtz, Jeffrey M"
BTW,250,14,6,1,0,0,0,"Larabee, Melissa K"
CEE,422,14,13,3,0,0,0,"Liu, Liang Y"
CEE,467,11,18,7,1,0,0,"Abrams, Daniel P"
CEE,469,20,12,1,0,0,0,"Gurfinkel, German"
CHEM,102,7,15,11,1,2,0,"Hummel, Thomas J"
CHEM,103,21,2,0,0,0,0,"Hummel, Thomas J"
CHEM,104,11,15,16,3,0,1,"Ray, Christian R"
CHEM,105,17,15,1,1,0,0,"Ray, Christian R"
CHEM,232,18,41,37,7,4,3,"Llewellyn, Nicholas"
CHEM,233,14,27,9,4,0,1,"Llewellyn, Nicholas"
CHEM,332,17,18,10,1,2,0,"Moore, Jeffrey S"
CHLH,100,16,18,0,0,0,0,"Trask, Jeffrey T"
CHLH,100,25,10,3,0,0,0,"Trask, Jeffrey T"
