CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,16,5,0,0,1,0,"Shin, Jeongsu"
AAS,100,19,4,0,0,0,1,"Shin, Jeongsu"
AAS,100,15,4,1,0,1,0,"Lee, Sabrina Y"
AAS,200,26,5,0,1,1,0,"Sawada, Emilia"
AAS,215,30,3,0,0,0,0,"Kwon, Soo Ah"
ABE,141,9,13,4,1,0,0,"Leonelli, Laurie B"
ABE,152,170,13,1,3,5,1,"Kalita, Prasanta K"
ABE,232,21,6,0,0,0,0,"Witmer, Ann-Perry"
ABE,425,22,2,0,0,0,0,"Grift, Tony E"
ABE,457,19,2,1,0,0,0,"Bhattarai, Rabin"
ABE,498,49,5,0,0,0,1,"Wang, Xinlei"
ACCY,200,160,26,6,0,2,1,"Zhang, Li"
ACCY,200,162,95,17,5,2,0,"Green, Danielle H"
ACCY,200,36,2,0,0,0,1,"Zhang, Li"
ACCY,201,86,58,27,11,6,1,"Fisher, Mitchell B"
ACCY,201,106,45,24,9,3,3,"Fisher, Mitchell B"
ACCY,201,20,1,0,0,0,0,"Fisher, Mitchell B"
ACCY,202,87,86,31,1,1,0,"Shapland, Julia P"
ACCY,202,76,83,25,2,1,2,"Shapland, Julia P"
ACCY,202,28,10,1,0,0,0,"Shapland, Julia P"
ACCY,301,18,7,1,0,0,0,"Johnson, Jennifer A"
ACCY,301,15,10,1,1,0,0,"Johnson, Jennifer A"
ACCY,301,18,8,1,1,1,0,"Johnson, Jennifer A"
ACCY,301,22,6,0,2,0,0,"Ulla, Jennifer W"
ACCY,301,12,14,3,1,0,0,"Johnson, Jennifer A"
ACCY,301,12,11,2,2,0,0,"Ulla, Jennifer W"
ACCY,302,19,8,2,0,0,0,"Sani, Jalal"
ACCY,302,18,8,2,0,0,0,"Sani, Jalal"
ACCY,302,17,9,1,0,0,0,"Curtis, Susan M"
ACCY,302,17,9,2,0,0,0,"Curtis, Susan M"
ACCY,302,17,12,1,0,0,0,"Curtis, Susan M"
ACCY,302,10,10,6,2,0,0,"Sani, Jalal"
ACCY,303,16,8,1,2,0,0,"Schwartz, Rachel"
ACCY,303,14,4,5,0,0,0,"Pachera, Susan"
ACCY,303,21,3,1,2,0,0,"Schwartz, Rachel"
ACCY,303,14,6,1,3,0,0,"Schwartz, Rachel"
ACCY,303,10,13,2,0,0,0,"Pachera, Susan"
ACCY,304,16,9,1,0,0,0,"Kink, Dawn M"
ACCY,304,10,13,3,0,0,0,"Kink, Dawn M"
ACCY,304,14,8,3,1,0,0,"Hayne, Christie"
ACCY,304,12,13,1,0,0,0,"Kink, Dawn M"
ACCY,304,13,9,4,1,0,0,"Hayne, Christie"
ACCY,312,8,14,1,0,0,0,"Hutchens, Michelle L"
ACCY,312,10,7,5,0,0,0,"Hutchens, Michelle L"
ACCY,312,11,8,4,0,0,0,"Holder, Charles B"
ACCY,312,7,13,2,0,0,0,"Osswald, Benjamin"
ACCY,312,11,10,1,0,0,0,"Osswald, Benjamin"
ACCY,398,100,1,1,0,1,0,"Hutchens, Matthew"
ACCY,405,15,5,4,0,1,0,"Dahle, Andrew J"
ACCY,405,10,10,4,0,0,0,"Dahle, Andrew J"
ACCY,405,20,5,0,0,0,0,"Rogowski, Edward J"
ACCY,405,18,5,0,0,0,0,"Rogowski, Edward J"
ACCY,410,11,10,4,1,1,0,"Kustanovich, Michael"
ACCY,410,16,10,3,0,0,0,"Steward, Cynthia G"
ACCY,410,13,5,7,0,0,0,"Chen, Ciao-Wei"
ACCY,410,21,5,2,0,0,0,"Kustanovich, Michael"
ACCY,451,15,5,4,2,0,0,"Alt, Amanda J"
ACCY,451,18,7,5,0,0,0,"Holder, Charles B"
ACCY,451,15,8,2,0,0,0,"Holder, Daniel E"
ACCY,451,21,8,1,2,0,1,"Alt, Amanda J"
ACCY,500,511,18,3,0,4,2,"Urcan, Oktay"
ACCY,501,38,19,6,1,3,1,"Augusto Sampaio, Gerlando"
ACCY,501,29,30,6,0,7,0,"Augusto Sampaio, Gerlando"
ACCY,502,83,35,20,0,1,0,"Mendoza, Scott A"
ACCY,502,79,48,6,2,0,0,"Mendoza, Scott A"
ACCY,503,18,12,0,0,0,0,"Herbold, T J"
ACCY,503,104,63,2,0,4,0,"Hecht, Gary W"
ACCY,503,137,38,9,0,6,0,"Hecht, Gary W"
ACCY,503,854,233,31,3,14,1,"Chen, Xiaoling"
ACCY,503,35,11,2,0,5,0,"Zhang, Li"
ACCY,506,18,6,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,506,13,9,2,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,507,56,15,2,0,0,0,"Donohoe, Michael P"
ACCY,507,58,11,3,0,0,0,"Donohoe, Michael P"
ACCY,510,15,16,3,0,0,0,"Persson, Martin E"
ACCY,510,13,21,2,0,0,0,"Persson, Martin E"
ACCY,510,12,24,0,0,0,0,"Persson, Martin E"
ACCY,512,32,3,0,0,0,0,"Wang, Wei"
ACCY,512,19,1,4,0,0,0,"Wang, Wei"
ACCY,512,17,4,0,0,0,0,"Wang, Wei"
ACCY,515,11,10,2,1,0,0,"Lullo, Michael J"
ACCY,515,2,17,1,0,1,0,"Lullo, Michael J"
ACCY,515,8,14,2,0,0,0,"Lullo, Michael J"
ACCY,517,21,5,0,0,0,0,"Li, Yue"
ACCY,517,28,2,0,0,0,0,"Hamm, Brian K"
ACCY,517,14,7,0,0,0,0,"Li, Yue"
ACCY,517,18,4,0,0,0,0,"Hamm, Brian K"
ACCY,574,45,1,1,0,0,0,"Leiby, Justin"
ACCY,574,42,1,2,0,0,0,"Leiby, Justin"
ACCY,574,67,3,1,1,0,1,"Leiby, Justin"
ACCY,575,23,2,0,1,0,0,"Park, Ye Joo"
ACCY,575,32,1,0,0,0,0,"Park, Ye Joo"
ACCY,575,18,11,0,0,0,0,"Zhu, Wei"
ACCY,575,28,3,1,0,0,0,"Zhu, Wei"
ACCY,575,19,11,1,0,0,0,"Zhu, Wei"
ACCY,575,23,3,1,0,0,0,"Penn, Michael W"
ACCY,576,59,6,2,0,3,0,"Guymon, Ronald N"
ACCY,577,51,7,0,0,0,0,"Lu, Zhenzhong L"
ACE,100,14,9,5,1,0,0,"Hadunka, Protensia"
ACE,100,11,7,5,3,0,0,"Hadunka, Protensia"
ACE,161,30,6,4,1,1,1,"Burnett, Meghan L"
ACE,161,19,10,5,0,0,1,"Lo, Alexander C"
ACE,161,18,7,1,0,1,0,"Lo, Alexander C"
ACE,199,23,2,2,0,0,0,"Lemoine, Craig"
ACE,199,23,5,1,0,0,1,"Lo, Alexander C"
ACE,199,72,10,1,0,2,0,"Stoddard, Paul B"
ACE,210,42,22,21,4,0,0,"Damon, Lisa A"
ACE,231,64,29,10,3,1,0,"Stoddard, Paul B"
ACE,232,18,18,8,3,1,0,"Elmore, Ailie C"
ACE,240,670,42,19,3,17,1,"Lemoine, Craig"
ACE,240,54,15,1,0,1,0,"Sanchez, Donovan"
ACE,251,71,39,6,0,1,0,"Michelson, Hope C"
ACE,255,128,13,1,0,0,0,"Ando, Amy W"
ACE,262,34,19,13,5,0,0,"Gundersen, Lisa C"
ACE,264,62,31,11,4,0,1,"Hultgren, Andrew B"
ACE,270,44,13,1,0,0,0,"Gundersen, Lisa C"
ACE,300,42,27,19,9,1,0,"Endres, Renata"
ACE,306,29,14,6,0,0,0,"Endres, A B"
ACE,310,25,21,2,1,0,0,"Endres, Renata"
ACE,335,13,7,0,0,1,0,"Kalaitzandonake, Maria H"
ACE,341,30,6,0,0,1,0,"Karplus, Lauren E"
ACE,344,32,3,0,0,0,1,"Lemoine, Craig"
ACE,345,16,30,10,0,0,0,"Elmore, Ailie C"
ACE,349,15,17,3,0,0,0,"Sanchez, Donovan"
ACE,360,26,4,1,0,1,0,"Campbell, William D"
ACE,360,22,1,1,0,1,0,"Campbell, William D"
ACE,403,26,5,0,0,0,0,"Coppess, Jonathan W"
ACE,427,29,25,1,0,0,0,"Janzen, Joseph P"
ACE,428,14,25,9,4,1,0,"Stoddard, Paul B"
ACE,430,11,19,9,2,0,0,"Goldsmith, Peter D"
ACE,435,68,9,5,2,0,0,"Schnitkey, Gary D"
ACE,440,51,7,0,0,0,0,"Allen, Sharon C"
ACE,444,26,16,16,2,0,1,"Sherrick, Bruce J"
ACE,446,18,11,9,2,0,0,"Sherrick, Bruce J"
ACE,449,40,25,2,0,1,0,"Sanchez, Donovan"
ACE,451,13,14,4,0,0,0,"McNamara, Paul E"
ACE,474,10,18,10,0,0,0,"Fonseca Travass, Guilherm"
ACE,476,17,20,10,2,0,0,"Herrera Almanza, Catalina"
ACES,102,48,2,0,0,0,0,"Ball, Anna L"
ADV,150,28,4,0,0,1,0,"Faisal, Naufil B"
ADV,150,35,2,0,0,0,0,"Arreazola, Catherine J"
ADV,150,28,5,1,0,0,0,"Arreazola, Catherine J"
ADV,150,35,1,0,1,0,0,"Faisal, Naufil B"
ADV,150,29,0,2,0,3,0,"Lee, Yujin"
ADV,150,29,3,4,0,0,0,"Bhalla, Sakshi"
ADV,150,34,2,1,0,0,0,"Lee, Yujin"
ADV,150,30,0,2,1,0,0,"Bhalla, Sakshi"
ADV,175,44,47,5,1,0,0,"Chambers, Jason P"
ADV,200,15,8,2,0,0,0,"Liu, Jingyu"
ADV,270,35,13,3,0,1,0,"Clifton, Dionne J"
ADV,281,8,8,3,3,0,0,"Rahman, Nisa P"
ADV,281,10,8,7,4,0,0,"Lee, Seo Yoon"
ADV,281,9,6,5,2,0,0,"Lee, Seo Yoon"
ADV,281,7,12,9,1,0,0,"Rahman, Nisa P"
ADV,283,109,9,1,1,0,0,"Meron, Shachar"
ADV,284,23,5,0,0,0,0,"Chung, Un Chae"
ADV,284,24,3,1,0,0,0,"Paltaratskaya, Veranika"
ADV,284,23,4,1,0,0,0,"Chung, Un Chae"
ADV,284,14,12,1,0,0,0,"Paltaratskaya, Veranika"
ADV,290,51,40,6,0,0,0,"Muirhead, Susan P"
ADV,301,40,6,3,1,2,0,"Wilson, Carrie A"
ADV,305,34,8,0,0,0,0,"Fisher, Jacob T"
ADV,310,54,32,6,0,0,0,"Hitchon, Jacqueline C"
ADV,314,19,8,7,0,1,1,"Raquel, Steve A"
ADV,320,80,12,7,1,3,1,"Clifton, Dionne J"
ADV,350,17,2,3,1,0,0,"Vance, Allison C"
ADV,370,74,18,7,5,10,1,"Clifton, Dionne J"
ADV,390,41,44,7,1,0,0,"Sheldon, Peter S"
ADV,393,59,3,1,1,0,0,"Wang, Yanyun"
ADV,409,24,6,0,0,0,0,"Kasdan, Terry P"
ADV,410,28,6,0,0,0,0,"Peacock, Marisa C"
ADV,460,17,3,4,1,0,0,"Lee, Dongchan"
ADV,460,18,10,1,0,1,0,"Lee, Dongchan"
ADV,460,22,6,1,0,0,0,"Kim, Woo Jin"
ADV,461,17,3,1,0,0,0,"Maslowska, Ewa H"
ADV,483,7,17,9,1,1,0,"Wise, Kevin R"
ADV,483,9,20,6,2,0,0,"Wise, Kevin R"
ADV,483,14,18,5,0,1,0,"Wise, Kevin R"
ADV,490,19,1,1,0,1,0,"Muirhead, Susan P"
AE,140,37,8,3,1,0,0,"Laystrom-Woodar, Julia K"
AE,140,39,7,3,0,1,0,"Laystrom-Woodar, Julia K"
AE,202,128,8,1,0,0,1,"Wroblewski, Gabrielle E"
AE,311,14,7,1,2,2,0,"Saxton-Fox, Theresa A"
AE,312,33,50,20,8,3,0,"Panerai, Francesco"
AE,321,13,14,8,5,4,0,"Khanbolouki, Pouria"
AE,323,17,36,32,11,8,0,"Lambros, John"
AE,352,21,17,16,2,0,0,"Langbort, Cedric"
AE,353,80,35,4,1,1,0,"Bretl, Timothy W"
AE,370,100,23,4,5,2,0,"Goza, Andres J"
AE,419,49,4,1,0,0,0,"Wroblewski, Gabrielle E"
AE,434,4,21,4,0,0,1,"Levin Fliflet, Deborah"
AE,435,9,14,8,5,0,1,"Rovey, Joshua L"
AE,443,29,14,0,0,0,0,"Merret, Jason M"
AE,443,47,40,0,0,0,0,"Lembeck, Michael F"
AE,461,73,47,4,0,0,0,"Chasiotis, Ioannis"
AE,498,34,16,0,0,0,0,"Lembeck, Michael F"
AE,502,19,5,2,1,0,0,"Eggl, Siegfried"
AE,504,14,9,6,0,0,1,"Ornik, Melkior"
AE,515,17,4,2,0,0,1,"Ansell, Phillip J"
AFRO,100,23,7,5,4,4,0,"Bailey, Ronald W"
AFRO,101,7,8,3,0,4,0,"Lawton, Bishop W"
AFRO,132,54,44,9,1,2,0,"Meyers, John P"
AFRO,228,23,3,1,0,0,0,"Meyers, John P"
AFRO,378,23,3,1,1,1,0,"O'Byrn, Edward E"
AGCM,220,28,2,0,3,0,0,"Roberts, Owen A"
AGCM,420,17,5,0,0,0,0,"Roberts, Owen A"
AIS,285,19,2,1,3,0,0,"Maldonado, Korinta"
AIS,285,19,4,0,1,0,0,"Pyle, Kai"
ALEC,490,30,0,2,0,0,0,"Rosch, David M"
ALEC,491,19,1,0,0,1,0,"Rosch, David M"
ALEC,492,20,1,0,0,1,0,"Rosch, David M"
ANSC,100,22,6,3,0,0,0,"Harsh, Bailey N"
ANSC,101,140,28,0,1,0,0,"Dilger, Anna C"
ANSC,205,54,10,5,1,0,0,"Parsons, Carl M"
ANSC,207,189,68,38,17,9,1,"Fischer-Brown, Amy E"
ANSC,210,81,2,0,0,0,0,"Harsh, Bailey N"
ANSC,223,101,62,13,3,0,0,"Dilger, Ryan N"
ANSC,224,57,51,47,10,2,1,"Miller, David J"
ANSC,250,46,8,3,0,1,0,"Richardson, Sarah D"
ANSC,250,245,23,12,3,4,0,"Richardson, Sarah D"
ANSC,255,38,8,3,0,0,0,"Shike, Daniel W"
ANSC,256,6,9,3,1,8,1,"Hagstrom, Debra"
ANSC,298,63,10,3,1,4,0,"Jones-Hamlow, Katelyn A"
ANSC,305,53,5,4,2,1,0,"Richardson, Sarah D"
ANSC,363,40,5,5,1,0,0,"Kukekova, Anna V"
ANSC,406,55,26,23,4,3,0,"Roca, Alfred L"
ANSC,407,29,10,7,7,0,0,"Fischer-Brown, Amy E"
ANSC,409,19,3,1,0,0,0,"Harsh, Bailey N"
ANSC,438,13,10,0,0,0,0,"Drackley, James K"
ANSC,446,16,4,1,0,0,0,"Roca, Alfred L"
ANSC,450,12,21,5,4,6,0,"Steelman, Andrew J"
ANSC,464,26,6,0,0,0,0,"Antonson, Adrienne M"
ANSC,498,54,13,4,0,0,0,"Schneider, Alicia M"
ANSC,499,19,9,4,1,0,0,"Fischer-Brown, Amy E"
ANSC,526,12,12,1,0,0,0,"Cattai de Godoy, Maria Re"
ANTH,101,21,6,1,0,1,1,"Rusen, Rachel M"
ANTH,101,22,6,1,2,0,0,"Rusen, Rachel M"
ANTH,101,23,5,2,0,0,0,"Naidoo, Navashni"
ANTH,101,29,0,1,0,1,0,"Naidoo, Navashni"
ANTH,101,29,2,0,0,1,0,"Naidoo, Navashni"
ANTH,101,26,2,0,1,1,0,"Taylor, Rachel M"
ANTH,101,24,4,0,2,1,0,"Taylor, Rachel M"
ANTH,101,19,4,2,2,1,0,"Reich, Arielle Y"
ANTH,101,24,5,2,1,1,0,"Reich, Arielle Y"
ANTH,101,20,3,3,2,2,0,"Reich, Arielle Y"
ANTH,103,482,65,22,8,5,0,"Erten, Hatice"
ANTH,105,18,12,2,4,0,0,"Bishop, Katelyn J"
ANTH,209,67,18,5,1,3,0,"Silverman, Helaine I"
ANTH,221,12,9,4,0,1,0,"Riggs, Erin P"
ANTH,246,468,79,21,10,15,1,"Jelinek, Petra"
ANTH,246,517,42,8,7,4,1,"Hughes, Cris E"
ANTH,268,15,12,1,2,1,0,"Dominguez, Virginia R"
ANTH,278,27,5,0,1,1,0,"Lucero, Lisa J"
ANTH,288,31,3,0,1,0,0,"Kastengren, Stetson M"
ANTH,350,19,8,0,1,0,0,"Greenberg, Jessica R"
ANTH,462,28,2,4,0,0,0,"Frankenberg, Susan R"
ARCH,172,118,29,7,0,0,0,"Clark, John S"
ARCH,232,33,28,18,6,4,1,"Uihlein, Marci"
ARCH,274,32,32,12,4,3,0,"Melgarejo De Be, Andrea L"
ARCH,403,21,5,0,0,0,0,"Leslie, Thomas W"
ARCH,409,17,10,0,0,0,0,"Lapunzina, Alejandro"
