CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,27,5,0,0,0,0,"Boonsripaisal, Simon"
AAS,100,28,3,0,0,0,0,"Uhall, Michael B"
AAS,100,20,7,1,0,3,0,"Kang, Yoonjung"
AAS,100,33,1,0,0,0,0,"Boonsripaisal, Simon"
AAS,100,26,6,0,0,0,0,"Uhall, Michael B"
AAS,100,16,7,0,0,3,0,"Kang, Yoonjung"
AAS,100,27,6,0,0,1,0,"Park, Doo Jae"
AAS,100,23,7,2,1,1,0,"Park, Doo Jae"
AAS,246,57,9,3,0,0,0,"Kwon, Soo Ah"
AAS,287,59,7,0,0,2,0,"Sharif, Lila A"
AAS,370,7,17,4,1,0,0,"Paik, Angela N"
ABE,100,39,3,0,0,2,0,"Green-Miller, Angela"
ABE,199,26,1,0,0,0,0,"Kalita, Prasanta K"
ABE,223,25,12,4,2,0,0,"Grift, Tony E"
ABE,224,34,10,2,0,2,0,"Kalita, Prasanta K"
ABE,430,91,7,0,0,2,0,"Davidson, Paul C"
ABE,436,7,14,4,1,1,0,"Wang, Xinlei"
ABE,436,19,5,0,0,0,0,"Wang, Xinlei"
ABE,488,18,7,0,0,0,0,"Singh, Vijay"
ABE,498,39,2,0,0,0,0,"Wang, Xinlei"
ACCY,200,130,85,46,14,0,1,"Silhan, Peter A"
ACCY,201,9,13,9,1,1,0,"Fisher, Mitchell B"
ACCY,201,7,9,11,3,1,1,"Fisher, Mitchell B"
ACCY,201,4,11,4,5,1,0,"Fisher, Mitchell B"
ACCY,201,7,6,9,3,2,0,"Fisher, Mitchell B"
ACCY,201,8,8,6,3,1,0,"Fisher, Mitchell B"
ACCY,201,10,11,5,4,0,0,"Fisher, Mitchell B"
ACCY,201,15,12,3,2,0,1,"Fisher, Mitchell B"
ACCY,201,11,13,6,0,1,1,"Fisher, Mitchell B"
ACCY,201,10,9,7,5,1,0,"Fisher, Mitchell B"
ACCY,201,15,8,4,5,0,0,"Fisher, Mitchell B"
ACCY,201,4,18,7,2,1,2,"Fisher, Mitchell B"
ACCY,201,14,13,2,1,0,0,"Fisher, Mitchell B"
ACCY,201,5,11,9,3,2,0,"Fisher, Mitchell B"
ACCY,201,7,4,8,4,1,1,"Fisher, Mitchell B"
ACCY,201,17,7,5,1,0,1,"Fisher, Mitchell B"
ACCY,201,6,17,4,3,2,0,"Fisher, Mitchell B"
ACCY,201,8,15,5,1,0,0,"Fisher, Mitchell B"
ACCY,201,11,11,5,2,1,1,"Fisher, Mitchell B"
ACCY,201,5,14,13,3,1,0,"Fisher, Mitchell B"
ACCY,201,9,16,5,2,0,0,"Fisher, Mitchell B"
ACCY,202,11,11,2,1,0,0,"Shapland, Julia P"
ACCY,202,10,12,3,1,1,0,"Shapland, Julia P"
ACCY,202,10,10,8,0,0,0,"Shapland, Julia P"
ACCY,202,15,13,3,0,0,0,"Shapland, Julia P"
ACCY,202,15,12,0,0,1,0,"Shapland, Julia P"
ACCY,202,8,17,3,0,0,0,"Shapland, Julia P"
ACCY,202,9,9,5,1,0,0,"Shapland, Julia P"
ACCY,202,12,13,3,1,0,0,"Shapland, Julia P"
ACCY,202,10,13,6,0,1,0,"Shapland, Julia P"
ACCY,301,11,13,6,0,0,0,"Davis, Gregory L"
ACCY,301,18,8,0,2,0,1,"Davis, Gregory L"
ACCY,301,17,11,3,0,0,0,"Wang, Zhiguang"
ACCY,301,12,11,3,1,1,0,"Sougiannis, Theodore"
ACCY,301,12,16,2,0,0,0,"Sougiannis, Theodore"
ACCY,301,12,16,1,0,0,1,"Wang, Zhiguang"
ACCY,301,13,15,2,0,0,0,"Sougiannis, Theodore"
ACCY,301,14,15,2,0,0,0,"Wang, Zhiguang"
ACCY,302,12,23,0,0,0,0,"Chen, Xiaoling"
ACCY,302,12,22,2,0,0,0,"Samet, Jordan A"
ACCY,302,13,17,4,0,0,0,"Samet, Jordan A"
ACCY,302,17,15,3,0,0,0,"Curtis, Susan M"
ACCY,302,19,13,3,0,0,0,"Curtis, Susan M"
ACCY,302,18,14,2,1,0,0,"Curtis, Susan M"
ACCY,302,18,18,0,0,0,0,"Samet, Jordan A"
ACCY,303,7,19,5,0,0,0,"Zhu, Wei"
ACCY,303,17,5,6,0,0,1,"Zhu, Wei"
ACCY,303,14,13,3,1,0,0,"Zhu, Wei"
ACCY,303,22,6,2,0,0,0,"Godsell, David"
ACCY,303,19,5,4,1,1,0,"Godsell, David"
ACCY,303,11,11,2,5,0,0,"Godsell, David"
