CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,18,12,6,0,1,0,"Silhan, Peter A"
ACCY,301,7,15,0,0,0,0,"Asante Appiah, Bright"
ACCY,302,12,8,1,0,0,0,"Demere, Paul M"
ACCY,303,12,11,2,1,0,0,"Snyder, R William"
ACCY,312,11,19,6,0,0,1,"Holder, Daniel E"
ACCY,405,10,15,0,0,1,0,"Hetrick, Kamber V"
ACCY,501,16,21,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,20,15,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,19,17,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,551,15,11,2,0,0,0,"Shaw, Jeffrey M"
ACCY,556,23,5,0,0,0,0,"Fotzler, Jonathan B"
ACCY,557,17,9,2,0,0,0,"Aquino, Glenn D"
ACCY,559,19,9,0,0,0,0,"Giertz, J F"
ACCY,559,15,12,1,0,0,0,"Meier, Walter K"
ACCY,560,31,4,0,0,0,0,"Chandler, John S"
ACE,100,6,7,6,4,1,0,"Gundersen, Lisa C"
ACE,240,41,34,6,1,2,0,"Stoddard, Paul B"
ADV,150,24,9,4,2,0,0,"Olson, Katrina M"
ADV,310,46,13,2,1,1,0,"Olson, Katrina M"
AFST,222,23,2,3,2,0,1,"Barro, Maimouna A"
ANSC,331,14,7,5,0,0,0,"Nowak, Romana A"
ANTH,103,45,26,14,5,7,1,"Finley, Amaziah Z"
ANTH,143,34,6,6,4,4,0,"Melber, Talia"
ANTH,209,26,5,3,2,0,0,"Manalansan, Martin F"
ASTR,100,19,6,7,2,3,0,"Vijayaraghavan, Rukmani"
ATMS,120,263,15,6,1,3,0,"Snodgrass, Eric R"
BADM,300,92,56,13,4,1,0,"Marrs, Gregory A"
BADM,310,107,60,10,3,3,1,"Shabbir, Muhammad S"
BADM,320,71,18,2,3,6,0,"Shabbir, Muhammad S"
BADM,340,15,5,1,0,0,0,"Winter, Gretchen A"
BADM,350,29,14,2,0,0,0,"Sachdev, Vishal"
BADM,375,11,13,3,1,0,0,"Sirichakwal, Issariya"
BADM,380,27,3,0,0,0,0,"Corredor Waldro, Sandra T"
BADM,551,61,4,0,0,0,0,"Bradley, Joe A"
BADM,567,24,10,0,0,0,0,"Chhajed, Dilip"
BADM,567,19,20,0,0,0,0,"Chhajed, Dilip"
BADM,572,46,6,3,0,0,0,"Palekar, Udatta S"
BADM,590,63,1,0,0,0,0,"Kurtz, Jeffrey M"
BADM,590,33,5,0,0,0,0,"Sleptsov, Alexander"
BADM,590,44,20,0,0,0,0,"Loewenstein, Jeffrey"
BTW,250,17,6,0,0,0,0,"Khatiblou, Roya"
CEE,422,11,14,4,0,1,1,"Liu, Liang Y"
CEE,467,9,8,3,1,0,0,"Abrams, Daniel P"
CEE,469,13,6,3,0,0,0,"Gurfinkel, German"
CHEM,102,16,25,24,7,5,2,"Overcash, John W"
CHEM,103,35,9,4,1,3,0,"Kramer, Colin B"
CHEM,104,9,18,13,7,2,0,"Hummel, Thomas J"
CHEM,105,21,7,1,1,0,0,"Kramer, Colin B"
CHEM,232,23,34,30,9,2,4,"Rafferty, Ryan"
CHEM,233,9,26,9,2,0,0,"Miller, Shawn"
CHEM,332,11,13,6,2,2,1,"Koerner, Michael"
CHLH,100,23,20,8,1,1,0,"Trask, Jeffrey T"
CHLH,206,15,28,10,3,3,0,"Rinaldi-Miles, Anna I"
CHLH,243,24,6,6,2,1,0,"Kersh, Renique"
CI,410,15,7,2,0,0,0,"Dean, Sheila R"
CLCV,102,10,10,8,1,3,2,"Dee, Nicholas M"
CMN,212,4,8,6,2,2,0,"Proulx, Jeffrey"
CMN,230,6,10,4,0,1,0,"Pitchford, Matthew C"
CMN,336,5,10,8,1,0,0,"Basinger, Erin D"
CMN,396,6,12,4,1,0,0,"Hebert, Mary Grace B"
CS,101,13,6,0,2,0,0,"Gambill, Thomas N"
CS,173,29,26,5,5,0,2,"Wang, Yipu"
CS,225,24,24,14,7,2,6,"Geigle, Chase A"
CS,357,23,10,1,0,0,0,"Gambill, Thomas N"
CS,410,15,7,1,0,0,0,"Massung, Sean A"
CS,421,9,8,4,0,0,0,"Mechitov, Kirill A"
DANC,100,10,15,5,1,2,1,"Pittman, Angela"
ECE,205,10,12,2,0,0,0,"Cheng, Zuofu"
ECE,210,12,16,7,1,3,0,"Alvarez, Juan"
ECE,313,10,26,14,7,2,1,"Xu, Jiaming"
ECE,329,27,17,10,4,1,0,"Kudeki, Erhan"
ECE,340,12,20,17,7,1,1,"Leburton, Jean-Pierre"
ECE,342,13,11,3,1,0,0,"Radhakrishnan, Chandrasek"
