CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,6,14,1,0,0,0,"Davis, Thomas E"
AAS,100,22,10,1,0,0,0,"Mariano, Lorena"
AAS,120,9,15,5,1,0,0,"Chin, Christina B"
AAS,246,26,8,0,0,0,0,"Kwon, Soo Ah"
ABE,141,27,21,4,2,1,0,"Danao, Mary-Grace"
ABE,225,16,30,2,2,1,0,"Zhang, Yuanhui"
ABE,226,19,21,10,1,0,0,"Singh, Vijay"
ABE,425,17,16,2,0,0,0,"Grift, Tony E"
ABE,436,30,28,4,0,0,0,"Wang, Xinlei"
ABE,456,17,4,1,0,0,0,"Kalita, Prasanta K"
ABE,469,30,19,0,0,0,0,"Zahos, Stephen C"
ACCY,200,14,22,12,5,0,0,"Silhan, Peter A"
ACCY,200,45,27,21,11,1,0,"Silhan, Peter A"
ACCY,200,28,1,0,0,0,0,"Finnegan, Thomas"
ACCY,201,16,16,6,3,2,0,"Ettleson, Daniel A"
ACCY,201,20,15,3,2,1,0,"Ettleson, Daniel A"
ACCY,201,17,8,9,7,3,0,"Ellison, Jennifer L"
ACCY,201,18,19,2,4,1,0,"Braverman, Ian H"
ACCY,201,8,23,6,2,2,1,"Braverman, Ian H"
ACCY,201,19,17,4,2,0,0,"Strukoff, Ryan S"
ACCY,201,17,17,7,3,1,0,"Strukoff, Ryan S"
ACCY,202,12,25,0,0,1,0,"Dettloff, Kevin R"
ACCY,202,10,23,3,0,1,0,"Foley, Paul R"
ACCY,202,14,21,3,1,1,0,"Foley, Paul R"
ACCY,202,13,14,4,1,0,0,"Wirt, Justin R"
ACCY,202,11,23,2,2,0,0,"Pelella, Andrea E"
ACCY,202,20,18,2,0,0,0,"Pelella, Andrea E"
ACCY,202,22,15,2,0,0,0,"Dettloff, Kevin R"
ACCY,202,13,22,4,1,0,0,"Jang, Paul H"
ACCY,202,16,19,4,0,0,0,"Wirt, Justin R"
ACCY,202,16,20,2,0,1,0,"Arvin, Kyle C"
ACCY,202,14,23,2,1,0,0,"Jang, Paul H"
ACCY,202,12,24,1,1,0,0,"Miller, Bethany C"
ACCY,202,17,19,3,0,1,0,"Forsberg, Brian J"
ACCY,202,10,28,1,0,1,0,"Forsberg, Brian J"
ACCY,202,11,24,3,1,0,0,"Arvin, Kyle C"
ACCY,202,19,18,3,0,0,0,"Miller, Bethany C"
ACCY,301,14,13,6,0,0,0,"Rennekamp, Kristina M"
ACCY,301,23,12,0,0,0,0,"Rennekamp, Kristina M"
ACCY,301,15,19,2,0,0,0,"Rennekamp, Kristina M"
ACCY,301,17,6,4,0,0,0,"Zhou, Hailan"
ACCY,301,15,18,2,0,0,0,"Zhou, Hailan"
ACCY,302,10,21,1,1,0,0,"Black, William H"
ACCY,302,12,15,4,0,0,0,"Black, William H"
ACCY,302,11,22,3,0,0,0,"Autrey, Romana L"
ACCY,302,22,13,1,0,0,0,"Autrey, Romana L"
ACCY,302,9,22,3,0,0,0,"Autrey, Romana L"
ACCY,303,7,14,5,0,1,1,"Li, Yue"
ACCY,303,19,13,1,0,1,0,"Li, Yue"
ACCY,303,16,11,5,0,0,0,"Li, Yue"
ACCY,303,19,12,1,0,0,0,"Wang, Jundong"
ACCY,303,17,15,2,0,0,0,"Polinski, Paul W"
ACCY,303,5,17,2,0,0,0,"Polinski, Paul W"
ACCY,303,12,14,3,0,0,0,"Stern, Matthew T"
ACCY,304,14,18,0,0,0,0,"Vance, Thomas W"
ACCY,304,9,21,2,0,0,0,"Vance, Thomas W"
ACCY,304,7,23,1,0,0,0,"Vance, Thomas W"
ACCY,304,8,23,0,0,0,0,"Fan, Qintao"
ACCY,304,7,23,0,0,0,0,"Fan, Qintao"
ACCY,304,12,19,0,0,0,0,"Fan, Qintao"
ACCY,312,13,21,0,0,0,0,"Lisowsky, Petro"
ACCY,312,16,18,1,0,0,0,"Lisowsky, Petro"
ACCY,312,11,20,0,0,0,1,"Varadharajan, Anupama"
ACCY,312,9,23,2,0,0,0,"Lisowsky, Petro"
ACCY,312,15,19,0,0,0,0,"Varadharajan, Anupama"
ACCY,312,9,15,1,0,0,0,"Varadharajan, Anupama"
ACCY,398,122,7,3,0,0,0,"Nekrasz, Frank"
ACCY,405,5,24,3,0,0,0,"Asante Appiah, Bright"
ACCY,405,16,21,2,0,0,0,"Thompson, Anne M"
ACCY,405,21,16,0,0,0,1,"Thompson, Anne M"
ACCY,405,1,33,3,0,0,0,"Thompson, Anne M"
ACCY,405,20,17,1,0,0,0,"Asante Appiah, Bright"
ACCY,500,25,6,0,0,0,0,"Peecher, Mark E"
ACCY,504,22,10,1,0,0,0,"Pesch, Heather L"
ACCY,504,19,13,1,0,0,0,"Pesch, Heather L"
ACCY,504,22,18,0,0,0,0,"Pesch, Heather L"
ACCY,510,19,19,1,0,0,0,"Polinski, Paul W"
ACCY,510,23,15,1,0,0,0,"Doogar, Rajib K"
ACCY,511,31,14,0,0,0,0,"Narayanamoorthy, Ganapath"
ACCY,511,27,19,0,0,0,0,"Narayanamoorthy, Ganapath"
ACCY,511,25,20,0,0,0,0,"Narayanamoorthy, Ganapath"
ACCY,511,21,24,0,0,0,0,"Sougiannis, Theodore"
ACCY,511,20,18,0,0,0,0,"Sougiannis, Theodore"
ACCY,511,25,19,1,0,0,0,"Sougiannis, Theodore"
ACCY,512,34,5,0,0,0,0,"Schwartz, Rachel"
ACCY,515,21,19,2,0,0,0,"Hobson, Jessen L"
ACCY,515,15,23,1,0,0,0,"Beck, Paul J"
ACCY,515,25,17,0,0,0,0,"Hobson, Jessen L"
ACCY,515,19,17,1,0,0,0,"Hobson, Jessen L"
ACCY,517,22,13,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,517,24,26,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,517,22,17,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,552,5,18,1,0,0,0,"Sternburg, Thomas"
ACCY,552,11,22,0,0,0,0,"Sternburg, Thomas"
ACCY,555,14,17,0,0,0,0,"Lawler, Michael R"
ACCY,557,19,12,0,0,0,0,"Aquino, Glenn D"
ACCY,557,14,17,0,0,0,0,"McAlpine, William C"
ACCY,593,41,2,0,0,0,0,"Nekrasz, Frank"
ACCY,593,43,1,0,0,0,0,"Nekrasz, Frank"
ACE,100,8,8,6,3,0,1,"Gundersen, Lisa C"
ACE,100,5,13,6,2,1,0,"Gundersen, Lisa C"
ACE,100,8,10,5,2,2,0,"Gundersen, Lisa C"
ACE,100,7,9,8,2,1,0,"Gundersen, Lisa C"
ACE,100,13,9,3,2,0,0,"Gundersen, Lisa C"
ACE,100,5,13,6,1,0,0,"Gundersen, Lisa C"
ACE,100,5,11,8,1,3,0,"Gundersen, Lisa C"
ACE,100,6,14,6,1,0,0,"Gundersen, Lisa C"
ACE,161,12,7,3,1,1,0,"Rogalla, Valerie"
ACE,161,18,5,2,0,0,0,"Lo, Alexander C"
ACE,161,15,3,4,2,0,0,"Rogalla, Valerie"
ACE,161,21,3,1,0,0,0,"Lo, Alexander C"
ACE,161,23,2,0,0,0,0,"Lo, Alexander C"
ACE,161,21,2,1,1,0,0,"Lo, Alexander C"
ACE,161,18,5,1,0,0,0,"Lo, Alexander C"
ACE,161,8,6,3,2,2,0,"Rogalla, Valerie"
ACE,161,20,3,1,1,0,0,"Lo, Alexander C"
ACE,161,9,4,4,2,2,0,"Rogalla, Valerie"
ACE,161,10,8,2,2,1,0,"Rogalla, Valerie"
ACE,161,13,4,5,0,2,0,"Rogalla, Valerie"
ACE,210,76,70,13,0,1,1,"Ando, Amy W"
ACE,231,77,83,15,2,0,0,"Stoddard, Paul B"
