CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,9,8,4,1,0,0,"Silhan, Peter A"
ACCY,301,8,14,1,0,0,0,"Asante Appiah, Bright"
ACCY,302,4,18,0,0,0,0,"Finnegan, Thomas"
ACCY,303,12,7,4,0,0,0,"Grant, Stephanie M"
ACCY,312,18,11,5,0,0,0,"Holder, Daniel E"
ACCY,501,25,13,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,18,16,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,20,16,0,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,503,19,11,1,0,0,0,"Carroll, Sandra"
ACCY,551,9,20,0,1,0,0,"Shaw, Jeffrey M"
ACCY,557,20,7,3,0,0,0,"Aquino, Glenn D"
ACCY,559,23,7,0,0,0,0,"Giertz, J F"
ACCY,559,19,11,0,0,0,0,"Meier, Walter K"
ACCY,560,34,3,0,0,0,0,"Chandler, John S"
ACCY,560,28,2,0,0,0,0,"Chandler, John S"
ACE,100,10,9,2,2,1,1,"Gundersen, Lisa C"
ADV,310,45,21,2,0,0,0,"Olson, Katrina M"
ADV,410,17,7,0,0,0,0,"Olson, Katrina M"
AGCM,270,17,7,2,3,1,0,"Cupps-Miller, Heather A"
ANSC,110,44,4,0,0,0,0,"Kesler, Darrel J"
ANSC,542,30,1,2,0,0,1,"Rodriguez-Zas, Sandra L"
ANTH,103,64,39,14,4,9,0,"O' Brien, Kathleen C"
ANTH,143,32,14,8,5,4,0,"Uhl, Natalie M"
ANTH,180,23,4,1,1,0,0,"Silverman, Helaine I"
ASTR,100,21,8,6,6,2,0,"Looney, Leslie W"
ATMS,120,248,18,9,4,4,0,"Snodgrass, Eric R"
BADM,300,34,2,0,0,0,0,"Kindt, John W"
BADM,300,20,6,1,0,0,0,"Marrs, Gregory A"
BADM,310,47,18,4,2,0,0,"Shabbir, Muhammad S"
BADM,320,33,4,0,0,0,1,"Ha, Younhee"
BADM,320,72,16,2,0,4,0,"Shabbir, Muhammad S"
BADM,350,28,16,1,0,0,0,"Sachdev, Vishal"
BADM,380,6,14,2,0,0,0,"Bucheli, Marcelo"
BADM,551,34,8,0,0,0,0,"Bradley, Joe A"
BADM,567,21,16,0,0,0,0,"Chhajed, Dilip"
BADM,567,20,17,1,0,0,0,"Chhajed, Dilip"
BADM,572,49,5,0,0,0,0,"Palekar, Udatta S"
BADM,573,16,15,1,0,0,0,"Anand, Gopesh J"
BADM,582,8,19,0,0,0,0,"Cheng, Joseph L"
BADM,590,44,2,0,0,0,0,"Kurtz, Jeffrey M"
CEE,422,17,13,2,0,0,0,"Liu, Liang Y"
CHEM,102,18,21,21,5,3,0,"Hummel, Thomas J"
CHEM,103,28,4,1,0,1,0,"Tu, Andy"
CHEM,104,10,26,24,0,4,1,"Ray, Christian R"
CHEM,105,30,4,1,1,0,0,"Ray, Christian R"
CHEM,232,22,24,30,7,3,2,"Rafferty, Ryan"
CHEM,233,10,19,17,0,1,0,"Rafferty, Ryan"
CHEM,332,30,15,6,0,0,0,"Hawkes, Daryl A"
CHEM,442,9,7,4,3,3,0,"Nicely, Amy L"
CHLH,100,23,28,5,2,0,1,"Trask, Jeffrey T"
CHLH,101,10,10,7,0,1,0,"Wang, Qian"
CHLH,206,13,19,9,6,3,0,"Rinaldi-Miles, Anna I"
CHLH,243,21,10,9,3,1,0,"Kersh, Renique"
CI,410,27,6,0,0,0,0,"Dean, Sheila R"
CLCV,102,17,8,4,0,3,0,"McConnell, Ryan E"
CMN,211,8,11,2,3,0,0,"Lammers, John C"
CMN,212,6,11,6,1,0,0,"Atouba Ada, Yannick Lione"
CMN,260,7,6,8,3,2,0,"Klean Zwilling, Jillian M"
CMN,260,6,7,7,1,0,0,"Pusateri, Kimberly B"
CMN,260,5,9,7,2,1,0,"Varava, Kira A"
CMN,260,12,5,6,0,2,0,"Zupancic, Heather M"
CMN,336,5,5,6,3,5,1,"Delaney, Amelia L"
CMN,336,4,8,7,1,1,0,"McAninch, Kelly"
CMN,396,15,7,3,0,2,0,"Sharabi, Liesel"
CS,101,10,12,9,5,1,0,"Gambill, Thomas N"
CS,173,19,25,12,2,2,1,"Evans, Graham C"
CS,225,19,18,10,7,2,2,"Massung, Sean A"
CS,357,37,9,5,0,0,1,"Gambill, Thomas N"
CS,373,24,9,8,1,0,0,"Di Febo, Joseph"
CS,421,14,12,5,2,1,2,"Mansky, William E"
DANC,100,21,17,5,0,2,0,"Archibald, Renee E"
EALC,250,15,7,0,0,0,0,"Ruppert, Brian D"
ECE,205,2,7,9,6,3,0,"Roppo, Mike"
ECE,210,7,9,6,0,1,2,"Alvarez, Juan"
ECE,310,16,9,2,0,0,0,"Radhakrishnan, Chandrasek"
ECE,313,12,14,16,2,0,1,"Zhu, Ji"
ECE,329,26,16,11,0,0,0,"Kudeki, Erhan"
ECE,342,19,11,8,0,0,0,"Schutt-Aine, Jose E"
ECE,350,14,9,1,0,0,0,"Schutt-Aine, Jose E"
ECE,444,13,9,3,0,0,1,"Sievers, Dane J"
ECON,102,8,10,3,1,1,1,"DiIanni, Isaac"
ECON,102,73,28,4,2,8,0,"Vazquez, Jose J"
ECON,103,17,6,1,2,0,0,"Gottheil, Fred M"
ECON,103,21,25,6,2,2,0,"Petry, Joseph A"
ECON,202,12,7,5,3,0,1,"Feng, Xue"
ECON,203,22,19,17,2,0,0,"Heydari Bararde, Yashar"
ECON,302,13,18,16,4,3,3,"Arvin-Rad, Hassan"
ECON,411,5,6,7,3,0,0,"Arvin-Rad, Hassan"
ECON,490,24,1,1,0,1,1,"Bernotas, David W"
ECON,568,27,5,0,0,0,0,"Esfahani, Hadi S"
ECON,568,45,6,2,0,0,0,"Esfahani, Hadi S"
ENG,198,53,5,0,0,0,0,"Wilcox, Bryan R"
ENG,451,14,4,3,1,0,0,"Zehr, Sarah M"
ENSU,310,23,5,1,0,1,0,"Snodgrass, Eric R"
EPS,310,13,6,0,0,3,0,"Anderson, James D"
EPS,415,77,2,0,0,1,0,"Mayo, Cris S"
EPS,420,13,12,0,0,1,1,"Barnett, Bernice M"
ESE,320,26,14,5,0,0,0,"Cole, Todd M"
