CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
ACCY,200,39,32,12,5,1,1,"Silhan, Peter A"
ACCY,301,9,13,5,5,0,0,"Jang, Hansol"
ACCY,302,17,10,0,0,0,0,"Han, Jong Won"
ACCY,410,9,12,0,0,0,0,"Penn, Michael W"
ACCY,500,22,1,0,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,21,11,1,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,26,8,0,0,0,0,"Augusto Sampaio, Gerlando"
ACCY,501,15,19,1,0,0,1,"Ibrahim, Adel Nematallah"
ACCY,503,43,12,1,0,0,0,"Fisher, Mitchell B"
ACCY,593,32,7,0,0,0,0,"Kustanovich, Michael"
ACCY,593,29,10,1,0,0,0,"Kustanovich, Michael"
ACCY,593,60,0,1,0,0,0,"Reierson, Timothy J"
ACE,240,21,24,2,3,1,0,"Stoddard, Paul B"
ADV,281,4,13,9,2,0,0,"Sar, Sela"
ADV,312,10,3,2,8,1,0,"Chambers, Jason P"
AFRO,100,33,16,3,0,2,0,"McMillion, Desiree Y"
AFST,222,19,5,2,2,0,0,"Barro, Maimouna A"
ANSC,110,13,5,2,0,1,0,"Allen, Crystal A"
ANSC,205,22,3,0,2,0,0,"Emmert, Jason L"
ANTH,103,42,4,3,2,4,0,"Branigan, Claire T"
ANTH,143,17,4,1,2,2,0,"Yim, An-Di"
ANTH,180,22,4,2,1,2,0,"Silverman, Helaine I"
ANTH,246,22,15,5,1,2,1,"Lee, Amanda"
ART,100,19,11,2,0,2,0,"Burns, Jennifer"
ARTD,209,23,12,5,1,5,0,"Gunji-Ballsrud, Jennifer"
ASTR,100,21,11,6,0,5,0,"Lu, Yinghe"
ASTR,330,41,6,1,0,0,0,"Wen, Di"
ATMS,120,63,48,11,2,7,1,"Choate, Jessica J"
BADM,300,69,9,4,1,0,0,"Wright, Margaret"
BADM,300,59,26,6,3,0,0,"Fricke, Michael R"
BADM,310,231,26,5,0,3,0,"Gill, Shahbaz"
BADM,320,179,22,5,1,5,1,"Gill, Shahbaz"
BADM,350,22,6,3,1,1,1,"Sachdev, Vishal"
BADM,375,8,13,3,7,4,1,"Scott, Nehemiah"
BADM,380,40,6,0,0,0,0,"Bucheli, Marcelo"
BADM,403,42,7,0,0,2,0,"Fricke, Michael R"
BADM,501,17,3,1,0,0,0,"Martinez, Candace A"
BADM,544,295,385,64,7,7,3,"Sleptsov, Alexander"
BADM,544,44,53,7,0,0,2,"Sleptsov, Alexander"
BADM,567,10,24,0,0,0,0,"Chhajed, Dilip"
BADM,567,26,29,0,0,0,0,"Chhajed, Dilip"
BADM,572,45,5,1,0,0,0,"Anand, Gopesh J"
BADM,588,21,2,0,0,0,0,"Chhajed, Dilip"
BADM,590,313,8,0,0,24,1,"Seshadri, Sridhar"
BADM,590,333,17,0,0,10,0,"Hartman, Kevin E"
BADM,590,305,15,3,0,3,1,"Hartman, Kevin E"
BADM,590,213,20,2,1,1,0,"Torelli, Carlos J"
BADM,590,457,95,19,0,2,0,"Loewenstein, Jeffrey"
BADM,590,54,0,0,0,9,0,"Seshadri, Sridhar"
BADM,590,34,1,0,0,4,0,"Hartman, Kevin E"
BADM,590,65,5,0,1,1,0,"Hartman, Kevin E"
BADM,590,21,1,0,0,1,0,"Torelli, Carlos J"
BADM,590,44,9,0,0,0,0,"Loewenstein, Jeffrey"
CHEM,102,5,14,8,2,2,0,"Gunasekera, Mutha Merenna"
CHEM,102,4,12,11,15,10,6,"Marville, Kelly"
CHEM,103,21,5,0,0,0,0,"Delaporte, Elise A"
CHEM,104,10,5,2,4,2,0,"Hummel, Thomas J"
CHEM,104,19,35,41,10,1,0,"Ray, Christian R"
CHEM,105,25,3,1,0,1,0,"Bruchhauser, Alexander D"
CHEM,232,17,26,17,7,7,1,"Kell, David A"
CHEM,233,22,14,3,0,0,0,"Axelson, Jordan C"
