CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
AAS,100,22,2,0,0,0,0,"Kwon, Soo Ah"
ACCY,301,11,8,3,0,0,0,"Klevsky, Elena"
ACCY,302,12,9,1,0,0,0,"Garza, Brent A"
ACCY,303,7,13,1,0,0,0,"Czerney, Keith R"
ACCY,312,9,15,7,1,0,0,"Holder, Daniel E"
ACCY,500,47,12,0,0,0,0,"Sandretto, Michael J"
ACCY,501,19,24,1,0,0,0,"Ibrahim, Adel Nematallah"
ACCY,501,22,16,1,1,0,0,"Ibrahim, Adel Nematallah"
ACCY,510,16,6,0,0,0,0,"Polinski, Paul W"
ACCY,557,23,8,0,0,0,0,"Aquino, Glenn D"
ACCY,559,23,8,0,0,0,0,"Giertz, J F"
ACCY,560,27,6,0,0,0,0,"Chandler, John S"
ACCY,560,30,2,0,0,0,0,"Chandler, John S"
ACCY,560,30,1,0,0,0,0,"Chandler, John S"
ACE,100,8,10,6,6,1,0,"Gundersen, Lisa C"
ACE,161,23,0,1,0,0,0,"Shah, Payal S"
AGCM,270,19,7,2,2,2,0,"Cupps-Miller, Heather A"
ANSC,110,18,7,0,0,0,1,"Kesler, Darrel J"
ANSC,331,18,6,2,0,0,0,"Nowak, Romana A"
ANSC,542,29,1,0,0,0,0,"Rodriguez-Zas, Sandra L"
ANTH,103,67,57,12,3,5,1,"Moodie, Ellen"
ANTH,180,22,3,0,0,0,0,"Silverman, Helaine I"
ANTH,209,31,2,0,0,0,0,"Manalansan, Martin F"
ARCH,475,20,4,0,0,0,0,"Kim, Michael K"
ASTR,100,12,12,11,3,2,1,"Looney, Leslie W"
ATMS,120,193,23,7,2,3,2,"Snodgrass, Eric R"
BADM,300,56,2,0,0,0,0,"Kindt, John W"
BADM,300,13,12,0,0,0,0,"Marrs, Gregory A"
BADM,310,11,12,3,2,0,0,"Lim, Jaegoo"
BADM,310,28,14,3,0,1,0,"Shabbir, Muhammad S"
BADM,320,33,4,0,0,0,0,"Liu, Xuefeng"
BADM,320,21,9,2,0,0,0,"Shabbir, Muhammad S"
BADM,320,47,16,1,0,0,0,"Shabbir, Muhammad S"
BADM,350,25,14,5,1,1,0,"Sachdev, Vishal"
BADM,380,4,16,2,0,0,0,"Clarke, John F"
BADM,551,43,2,0,0,0,0,"Bradley, Joe A"
BADM,567,36,3,0,0,0,0,"Gurumurthi, Suryanarayana"
BADM,567,34,6,0,0,0,0,"Gurumurthi, Suryanarayana"
BADM,567,13,12,0,0,0,0,"Petruzzi, Nicholas C"
BADM,572,39,3,2,0,0,0,"Taghaboni-Dutta, Fataneh"
BADM,590,31,4,0,0,0,0,"Sleptsov, Alexander"
CEE,422,13,10,3,0,0,0,"Liu, Liang Y"
CEE,469,17,5,2,0,0,0,"Gurfinkel, German"
CHEM,102,9,21,21,7,7,0,"Huang, Tina H"
CHEM,103,9,23,1,0,3,0,"Karns, Krysten M"
CHEM,104,10,22,13,2,1,0,"Hummel, Thomas J"
CHEM,105,11,14,4,2,0,0,"Muller, Neal W"
CHEM,232,20,29,33,6,7,2,"Rafferty, Ryan"
CHEM,233,17,28,11,0,0,0,"Rafferty, Ryan"
CHEM,332,17,9,6,2,0,1,"Evans, Michael J"
CHLH,100,46,22,5,1,3,1,"Trask, Jeffrey T"
CHLH,101,16,13,3,0,0,0,"Herrmann, Lynn K"
CHLH,206,40,23,11,2,1,1,"Rinaldi-Miles, Anna I"
CHLH,243,27,33,6,4,0,0,"Delic-Ovcina, Lejla"
CI,410,38,4,2,0,1,0,"Dean, Sheila R"
CMN,102,10,16,3,0,0,0,"Josey, Christopher S"
CMN,211,11,6,4,0,0,1,"Basinger, Erin D"
CMN,212,5,9,7,0,0,0,"Atouba Ada, Yannick Lione"
CMN,230,10,12,5,0,1,0,"Pusateri, Kimberly B"
CMN,260,11,10,5,0,1,1,"LaVoie, Nicole"
CMN,260,11,11,3,1,2,1,"Martin, Summer C"
CMN,396,16,5,7,0,0,0,"Caudle, Courtney A"
CMN,396,19,5,0,0,0,0,"Martinez, Jermaine"
CS,173,9,15,5,1,0,0,"Pittman, Lance C"
CS,225,19,14,12,3,7,1,"Toole, John D"
CS,241,7,7,6,3,3,0,"Fagen, Wade A"
CS,373,21,8,7,3,0,0,"Cunningham, Ryan M"
CS,411,20,6,2,0,0,0,"Weninger, Timothy E"
CS,421,7,7,4,1,2,0,"Griffith, Dennis E"
CS,425,16,6,2,0,0,2,"Montanari, Mirko"
DANC,100,16,8,5,0,0,1,"Kelley, Kathleen M"
DANC,100,21,6,1,2,2,1,"Brandt, Elizabeth A"
EALC,250,10,11,1,0,0,0,"Ruppert, Brian D"
ECE,205,9,16,4,1,0,0,"Mohamed, Mohamed Y"
ECE,210,6,15,7,0,0,0,"Leap, John"
ECE,290,17,16,12,2,0,0,"Rogers, Michael B"
ECE,313,4,11,8,4,1,0,"Hassanzadeh, Farzad"
ECE,329,31,25,7,1,0,0,"Kudeki, Erhan"
ECE,340,12,14,16,4,4,1,"Leburton, Jean-Pierre"
