CRS SUBJ CD,CRS NBR,A,B,C,D,F,W,Primary Instructor
GEOL,117,16,7,6,0,0,0,"Pettijohn, Justin C"
GEOL,118,14,7,2,1,0,0,"Altaner, Stephen P"
HDFS,105,26,9,3,1,0,0,"Theisen, Jaclyn C"
HIST,257,4,8,7,1,1,1,"Lynn, John A"
IB,150,23,21,8,1,2,0,"Clegg, Benjamin F"
IB,364,24,5,1,0,0,0,"Manaster, Joanne L"
IB,535,20,2,1,0,0,0,"Alleyne, Marianne"
IS,510,22,0,1,0,0,0,"Rhea, Heidi J"
IS,532,48,1,0,0,0,0,"Ludaescher, Bertram"
JOUR,200,40,11,3,2,1,1,"Follis, Jennifer E"
JOUR,453,16,9,1,0,0,0,"Holley, Geralyn K"
KIN,122,25,8,1,1,0,0,"Bensken, Jeanine D"
KIN,142,29,3,2,1,1,0,"Sydnor, Synthia"
LA,314,31,5,2,1,0,0,"Kraszewska, Katherine T"
LER,522,27,2,0,0,0,0,"Leroy, Michael H"
LER,542,18,2,1,0,0,0,"Avgar, Ariel C"
LER,590,24,3,0,0,0,0,"Neuman, Eric J"
LING,489,19,3,0,0,3,0,"Sadler, Randall W"
MACS,356,13,5,1,1,1,0,"Robinson, Jessica L"
MATH,220,10,10,7,1,1,0,"Ahmed, Iftikhar"
MATH,231,8,15,5,2,3,2,"Carpenter, Bruce"
MATH,241,10,13,3,3,2,0,"Nell, Travis"
MATH,241,13,12,4,1,7,1,"Carpenter, Bruce"
MATH,285,8,7,3,2,1,0,"Carpenter, Bruce"
MATH,347,8,6,4,2,1,0,"Petrickova, Sarka"
MATH,415,21,14,6,5,3,0,"Bergvelt, Maarten J"
MATH,415,20,14,9,1,0,0,"Carpenter, Bruce"
MATH,444,5,13,3,0,0,1,"McCarthy, Randy"
MATH,461,11,6,4,0,1,1,"Carpenter, Bruce"
MCB,150,15,19,24,7,1,2,"Mehrtens, Bradley G"
MCB,250,11,4,5,1,0,1,"Kirchner, Nicholas C"
MCB,252,17,12,6,0,0,1,"Rivier, David H"
MUS,130,30,4,0,1,0,0,"Magee, Gayle S"
MUS,130,53,6,2,2,1,0,"Magee, Gayle S"
NPRE,402,12,6,0,3,0,0,"Ragheb, Magdi"
PHIL,102,11,5,5,4,1,0,"Gilbert, David R"
PHYS,101,33,17,7,1,0,1,"Shoaf, Curtis M"
PHYS,102,6,7,8,0,1,0,"Carrubba, James G"
PHYS,211,11,8,7,1,0,1,"Rosenblatt, Rebecca J"
PHYS,212,17,6,12,6,0,0,"Chamberlain, Robert T"
PHYS,213,20,13,17,5,1,0,"Hassani, Sadri D"
PHYS,214,16,6,10,9,1,0,"Hassani, Sadri D"
PHYS,403,24,1,1,0,0,0,"Colla, Eugene V"
PS,100,18,13,2,4,0,0,"Leffingwell, Sarah K"
PS,241,10,8,3,2,1,0,"Iannantuoni, Alice"
PS,305,11,6,4,1,1,0,"Thomas-Ward, Jamie M"
PS,385,13,11,6,1,3,0,"Pierce, Justin D"
PS,491,19,3,0,0,0,0,"Mayer, Andrea L"
PSYC,100,20,11,2,4,0,0,"Shenouda, Christine K"
PSYC,100,18,19,8,3,4,0,"Shenouda, Christine K"
PSYC,201,12,16,7,3,1,0,"Shenouda, Christine K"
PSYC,204,44,6,2,1,2,0,"Dolcos, Sanda M"
PSYC,230,26,4,5,1,0,0,"Lleras, Alejandro"
RST,100,23,5,3,1,0,0,"Santos, Carla A"
RST,199,35,25,7,0,0,0,"McCann, Kenneth"
RST,242,20,10,5,2,1,0,"Milazzo, Liselle A"
SHS,514,20,3,0,0,0,0,"Mendes, Clarion C"
SHS,577,18,2,1,0,0,0,"Olson, Jaime L"
SOC,100,58,12,6,0,1,0,"VanHeuvelen, Jane"
SOC,310,15,9,3,1,0,1,"Lee, Meggan J"
SOC,350,13,4,3,1,0,1,"Steward, Daniel J"
SOCW,400,19,6,0,0,0,0,"Bragg, Mary"
SOCW,502,18,5,0,0,0,0,"Egizio, Lori L"
SOCW,502,19,2,1,0,0,0,"Campbell, Corey C"
SOCW,526,21,3,0,1,0,0,"Mauck, Carol W"
SOCW,526,20,3,1,1,0,0,"Mauck, Carol W"
SOCW,531,21,0,0,0,1,0,"Bedient, Mary Lou"
SOCW,531,23,1,0,0,0,0,"Maurer, Mary F"
STAT,100,54,12,14,8,9,2,"Flanagan, Karle A"
STAT,200,44,18,7,4,4,1,"Fireman, Ellen S"
STAT,400,41,20,11,4,0,0,"Stepanov, Alexey G"
STAT,410,25,12,4,2,5,1,"Stepanov, Alexey G"
STAT,420,117,12,1,0,0,0,"Unger, David"
STAT,420,37,13,4,0,0,1,"Unger, David"
STAT,440,41,12,2,0,0,0,"Kinson, Christopher L"
STAT,448,13,8,6,4,0,0,"Glosemeyer, Darren W"
TAM,212,6,14,5,0,2,0,"Essick, Raymond B"
TAM,251,5,9,3,2,2,0,"Leem, Juyoung"
THEA,101,26,3,1,1,1,1,"Morrissette, Jason W"
THEA,101,36,5,1,0,3,0,"Morrissette, Jason W"
